Seite;Nr.;Datum;User;;Sterne;Überschrift;Bewertung (Worte)
;50;16. Jul 12;Thomas d;;5;Sehr zufrieden;"Dies ist eine Rezension für Siemens KG39EAL 40 Edelstahl Look

Ich habe dieses Gerät nun seit 5 Monaten und bin äußerst zufrieden. Ich habe lange gezögert wegen der negativen Berichte über die Lautstärke des Gerätes. Kann ich aber nicht bestätigen, auch wenn das bei anderen Geräten vielleicht sogar der Fall war. Es ist für mich nicht lauter als andere Kühlgeräte, es ist ein ANDERES Geräusch, an das man sich vielleicht gewöhnen muss, ich hatte von Anfang an keine Probleme damit. Mal klingt es wie gluckerndes Wasser, mal ist es ein Surren. Offensichtlich ist da eine andere Technik im Einsatz als bei älteren Gerätegenerationen - für mich hat das aber keine Nachteile. Es ist sicher leiser als meine alte Kühlschrank-Mühle die über 10 Jahre alt war.

Insofern bin ich begeistert, denn Platz hat es ohne Ende (locker für einen Haushalt mit z.B. Eltern und 3 Kindern), die Kühlleistung ist v.a. für den geringeren Stromverbrauch hervorragend, auch bei heißen Tagen oder wenn viel neues Gefriergut eingelegt wird. Viele nützliche Standard-Funktionen (Super-Kühlen, Alarmfunktion), die verschiedenen, separaten Raumkammern für Fleisch und Gemüse sind praktisch umgesetzt und so halten die Lebensmittel länger. Wenn man möchte kann man die Türe(n) auf der einen oder anderen Seite öffnen, ist für entsprechenden Umbau ausgerüstet, ich benutze es standardmässig.

Nichts ist perfekt: Schön wäre es gewesen, wenn es auch für das Gefrierteil eine Beleuchtung hätte, wenn man die untere Türe öffnet. Und wegen der verschiedenen Raumkammern für Obst und Fleisch sind Getränkeflaschen im Türinneren höher als man es sich vielleicht gewohnt ist. Wirklich Platz hat im Gefrierteil die große, mittlere Schublade, die untere ist nicht sehr tief, weil dahinter logischerweise die Aggregate untergebracht sind wie bei fast allen Kombigeräten. Aber das sind wirklich Petitessen, deshalb würde ich das Gerät trotzdem nochmals kaufen. Insgesamt ein sehr durchdachtes Konzept, gute Leistung, wenig Verbrauch (und das bei der Größe, das lohnt sich wirklich)."
;51;17. Jul 12;JulArn;;4;Macht einen guten Eindruck;"Die Kühlgefrierkombi ist nun seit 1 Woche im Einsatz.

Insgesamt macht die Siemens Kühlgefrierkombi einen super wertigen Eindruck, sowohl innen als auch außen.

Sie ist schön leise.

Was mich ein wenig stört:
Der Kühlschrank lässt sich recht schwer öffnen, da wahrscheinlich so ein Unterdruck im inneren herrscht, dessen Widerstand man eben überwinden muss. Muss man sich wahrscheinlich dran gewöhnen.

Die Tiefe des Geräts hatten wir auch unterschätzt. Ist um einiges tiefer als die ""normalen"" Küchenschränke, ragt also heraus.

Der Amazon Lieferservice über DHL hat super geklappt."
;52;18. Jul 12;Simsi;;5;Preis-Leistung super;"Das Thema Lieferung möchte ich nur kurz anschneiden: Alles perfekt! Hermes rief mich 30 Minuten vor Lieferzeitpunkt an. Die beiden Herren trugen mir das Gerät genau an seinen vorbestimmten Platz und nahmen direkt die Verpackung mit. Nach 24 Std. nahm ich das Gerät in Betrieb und kann nur sagen: Super! Viel Platz, tolle Ausleuchtung, flexible Aufteilung und mein Favorit ist die coolbox... Wurst, Käse & Co. bleibt WIRKLICH länger frisch. Ein Traum!
Die Geräusche, die teilweise bemängelt wurden (blubbern, summen) sind da, ok. Aber meiner Meinung nach stören die NUR , wenn man direkt daneben schlafen müsste... Ansonsten kaum wahrzunehmen.
Von mir bekommt das Gerät 5 Sterne. Absolute Kaufempfehlung für diesen Preis!"
;53;20. Jul 12;Kito42;;5;Schöne große Kühl-/Gefrierkombi;Die Kühl-/Gefrierkombi ist enorm groß, hat viel Platz, blubbert laut und ist einfach nur empfehlenswert! Besonders der Platz im Gefrierteil (Big Box) ist sehr schön groß.
;54;22. Jul 12;Hans-Georg Frank;;5;Bin begeistert;"Bin nicht so leicht zu Begeisterungsstürmen hinzureißen, aber mein neuer Kühlschrank könnte das schaffen. Lieferung per Hermes Küchenmannschaft, wie angekündigt und nach telefonischer Avisierung. Die beiden Herren haben den Kühlschrank auf der Straße ausgepackt und per Sackkarre bzw. per Hand direkt an den vorgesehenen Platz in der Küche manövriert (das Teil wiegt ca. 90 kg). Im bisherigen Betrieb kann ich nichts Negatives feststellen.
Der Innenraum ist sehr gut aufgeteilt, die Fächer in der Tür sowie die beiden Schubfächer für Fleisch/Wurst und Obst/Gemüse sind ausreichend groß und sorgen für Ordnung. Das LED-Licht ist recht hell, aber ""kalt"", das ist etwas gewöhnungsbdürftig. Die drei Fächer im Gefrierabteil könnten natürlich, wie immer, größer sein, aber das große mittlere Fach ist schon toll. Der Kühlschrank ist nicht geräuschlos, aber deutlich leiser, als der AEG A++ Schrank, der leider schon nach knapp 4 Jahren wegen ""Düsenverstopfung"" den Geist aufgegeben hat (eine unglaubliche Verschwendung von Material!!!). Mich stört das leise Geräusch jedenfalls keineswegs.
Möge dieser Kühl-/Gefrierschrank so lange halten, wie unser alter Privileg (15 Jahre und noch kein Ende - jetzt aber wieder in Warteposition in der Garage), dann bin ich wirklich ""happy"".

Ergänzung: Nach 5 Monaten im Gebrauch muss ich sagen, dass mich noch nie ein Kühlschrank so begeistert hat. Der Energieverbrauch liegt im angegebenen Rahmen (habe einen Energiezähler montiert). Der Kühlschrank ist hell und durch seine Größe sehr übersichtlich. Insbesondere die beiden Extra-Fächer (Wurst/Fleisch und Obst/Gemüse) sind prima. Selbst Salat hält sich einige Tage, auch anderes Gemüse/Obst hält sich viel länger als sonst (bei 2-Personen-Haushalt lässt sich die Verbrauchsmenge nicht immer so kalkulieren). Lautstärke ist überhaupt kein Thema, habe den Kühlschrank nur sehr selten überhaupt bewusst wahrgenommen.
Helfen Sie anderen Kunden bei der Suche nach den hilfreichsten Rezensionen 
War diese Rezension für Sie hilfreich? Ja Nein
Missbrauch melden | Kommentar als Link
Kommentar Kommentar


0 von 4 Kunden fanden die folgende Rezension hilfreich
5.0 von 5 Sternen Schöne große Kühl-/Gefrierkombi, 20. Juli 2012
Von 
Kito42 - Alle meine Rezensionen ansehen
Verifizierter Kauf(Was ist das?)
Rezension bezieht sich auf: Siemens KG39EAI40 Kühlgefrierkombination / A+++ / Kühlen: 247 L / Gefrieren: 89 L / chrome Inox-metallic / antiFingerprint / coolBox (Misc.)
Die Kühl-/Gefrierkombi ist enorm groß, hat viel Platz, blubbert laut und ist einfach nur empfehlenswert! Besonders der Platz im Gefrierteil (Big Box) ist sehr schön groß.
Helfen Sie anderen Kunden bei der Suche nach den hilfreichsten Rezensionen 
War diese Rezension für Sie hilfreich? Ja Nein
Missbrauch melden | Kommentar als Link
Kommentar Kommentar


0 von 1 Kunden fanden die folgende Rezension hilfreich
5.0 von 5 Sternen Preis-Leistung super, 18. Juli 2012
Von 
Simsi - Alle meine Rezensionen ansehen
Verifizierter Kauf(Was ist das?)
Rezension bezieht sich auf: Siemens KG39EAL40 Kühlgefrierkombination / A+++ / 339 L / Edelstahl Look / easyLift / crisperBox (Misc.)
Das Thema Lieferung möchte ich nur kurz anschneiden: Alles perfekt! Hermes rief mich 30 Minuten vor Lieferzeitpunkt an. Die beiden Herren trugen mir das Gerät genau an seinen vorbestimmten Platz und nahmen direkt die Verpackung mit. Nach 24 Std. nahm ich das Gerät in Betrieb und kann nur sagen: Super! Viel Platz, tolle Ausleuchtung, flexible Aufteilung und mein Favorit ist die coolbox... Wurst, Käse & Co. bleibt WIRKLICH länger frisch. Ein Traum!
Die Geräusche, die teilweise bemängelt wurden (blubbern, summen) sind da, ok. Aber meiner Meinung nach stören die NUR , wenn man direkt daneben schlafen müsste... Ansonsten kaum wahrzunehmen.
Von mir bekommt das Gerät 5 Sterne. Absolute Kaufempfehlung für diesen Preis!
Helfen Sie anderen Kunden bei der Suche nach den hilfreichsten Rezensionen 
War diese Rezension für Sie hilfreich? Ja Nein
Missbrauch melden | Kommentar als Link
Kommentar Kommentar


3 von 4 Kunden fanden die folgende Rezension hilfreich
4.0 von 5 Sternen Macht einen guten Eindruck, 17. Juli 2012
Von 
JulArn - Alle meine Rezensionen ansehen
Verifizierter Kauf(Was ist das?)
Rezension bezieht sich auf: Siemens KG39EAI40 Kühlgefrierkombination / A+++ / Kühlen: 247 L / Gefrieren: 89 L / chrome Inox-metallic / antiFingerprint / coolBox (Misc.)
Die Kühlgefrierkombi ist nun seit 1 Woche im Einsatz.

Insgesamt macht die Siemens Kühlgefrierkombi einen super wertigen Eindruck, sowohl innen als auch außen.

Sie ist schön leise.

Was mich ein wenig stört:
Der Kühlschrank lässt sich recht schwer öffnen, da wahrscheinlich so ein Unterdruck im inneren herrscht, dessen Widerstand man eben überwinden muss. Muss man sich wahrscheinlich dran gewöhnen.

Die Tiefe des Geräts hatten wir auch unterschätzt. Ist um einiges tiefer als die ""normalen"" Küchenschränke, ragt also heraus.

Der Amazon Lieferservice über DHL hat super geklappt.
Helfen Sie anderen Kunden bei der Suche nach den hilfreichsten Rezensionen 
War diese Rezension für Sie hilfreich? Ja Nein
Missbrauch melden | Kommentar als Link
Kommentar Kommentar


2 von 3 Kunden fanden die folgende Rezension hilfreich
5.0 von 5 Sternen Sehr zufrieden, 16. Juli 2012
Von 
Thomas_d - Alle meine Rezensionen ansehen
Rezension bezieht sich auf: Siemens KG39EAL40 Kühlgefrierkombination / A+++ / 339 L / Edelstahl Look / easyLift / crisperBox (Misc.)
Dies ist eine Rezension für Siemens KG39EAL 40 Edelstahl Look

Ich habe dieses Gerät nun seit 5 Monaten und bin äußerst zufrieden. Ich habe lange gezögert wegen der negativen Berichte über die Lautstärke des Gerätes. Kann ich aber nicht bestätigen, auch wenn das bei anderen Geräten vielleicht sogar der Fall war. Es ist für mich nicht lauter als andere Kühlgeräte, es ist ein ANDERES Geräusch, an das man sich vielleicht gewöhnen muss, ich hatte von Anfang an keine Probleme damit. Mal klingt es wie gluckerndes Wasser, mal ist es ein Surren. Offensichtlich ist da eine andere Technik im Einsatz als bei älteren Gerätegenerationen - für mich hat das aber keine Nachteile. Es ist sicher leiser als meine alte Kühlschrank-Mühle die über 10 Jahre alt war.

Insofern bin ich begeistert, denn Platz hat es ohne Ende (locker für einen Haushalt mit z.B. Eltern und 3 Kindern), die Kühlleistung ist v.a. für den geringeren Stromverbrauch hervorragend, auch bei heißen Tagen oder wenn viel neues Gefriergut eingelegt wird. Viele nützliche Standard-Funktionen (Super-Kühlen, Alarmfunktion), die verschiedenen, separaten Raumkammern für Fleisch und Gemüse sind praktisch umgesetzt und so halten die Lebensmittel länger. Wenn man möchte kann man die Türe(n) auf der einen oder anderen Seite öffnen, ist für entsprechenden Umbau ausgerüstet, ich benutze es standardmässig.

Nichts ist perfekt: Schön wäre es gewesen, wenn es auch für das Gefrierteil eine Beleuchtung hätte, wenn man die untere Türe öffnet. Und wegen der verschiedenen Raumkammern für Obst und Fleisch sind Getränkeflaschen im Türinneren höher als man es sich vielleicht gewohnt ist. Wirklich Platz hat im Gefrierteil die große, mittlere Schublade, die untere ist nicht sehr tief, weil dahinter logischerweise die Aggregate untergebracht sind wie bei fast allen Kombigeräten. Aber das sind wirklich Petitessen, deshalb würde ich das Gerät trotzdem nochmals kaufen. Insgesamt ein sehr durchdachtes Konzept, gute Leistung, wenig Verbrauch (und das bei der Größe, das lohnt sich wirklich).
Helfen Sie anderen Kunden bei der Suche nach den hilfreichsten Rezensionen 
War diese Rezension für Sie hilfreich? Ja Nein
Missbrauch melden | Kommentar als Link
Kommentar Kommentar


88 von 130 Kunden fanden die folgende Rezension hilfreich
1.0 von 5 Sternen ACHTUNG ARTIKELBESCHREIBUNG FALSCH, 10. Juli 2012
Von 
Demolator - Alle meine Rezensionen ansehen
Verifizierter Kauf(Was ist das?)
Rezension bezieht sich auf: Siemens KG39EAI40 Kühlgefrierkombination / A+++ / Kühlen: 247 L / Gefrieren: 89 L / chrome Inox-metallic / antiFingerprint / coolBox (Misc.)
Zur Zeit kann man in der Artikelbeschreibung lesen:

""Die neuen, langlebigen LED-Leuchten sind flach in die Seitenwände integriert und leuchten den Innenraum gleichmäßig und perfekt aus, ohne Sie zu blenden.""

Das ist vollkommen falsch. Es existiert nur eine einzige Lampe oben in der Mitte, die keineswegs den Kühlschrank besonders gut ausleuchtet. Das sah bei unserem ""alten"" Kühlschrank mit einer im hinteren Bereich angebrachten einfachen Glühbirne deutlich besser aus.

Eine Nachfrage bei Amazon, daß die Artikelbeschreibung wohl falsch sei und mit der Frage welcher der Kühlschränke nun dieses Licht in den Seitenwänden hätte, kam nach drei Tagen Wartezeit lediglich die Aussage, daß dieser es nicht hat und ich ja von meinem Rückgaberecht Gebrauch machen könnte.

Die Artikelbeschreibung wurde inzwischen offensichtlich nicht geändert, daher muß ich vor einem Kauf warnen, obwohl der Kühlschrank ansonsten einwandfrei ist (und auch nicht besonders laut, wie andere hier schreiben).

Also vom kundenfreundlichsten Unternehmen der Welt hätte ich (bei einem so groben Fehler in der Artikelbeschreibung) zumindest ein Wort des Bedauerns erwartet, oder eine Antwort auf meine konkrete Frage, welchen Kühlschrank ich denn nehmen sollte, der der Artikelbeschreibung entspricht.

Daß ich ein Rückgaberecht habe, war mir irgendwie auch schon vorher klar.

--------------- Ergänzung am 27.11.2012 ---------------

Mir wird hier von seltsam fanatischen Siemens/Amazon-Fans folgendes vorgehalten:

""Hätte man sich vorher richtig informiert [...], bzw. im Laden das Gerät angeschaut, dann hätte man die Unterschiede gesehen""

Ich bin nicht einer von denen, die sich von Einzelhändlern beraten lassen und dann ""billig"" im Internet kaufen. Das finde ich persönlich einfach nur widerlich und dumm, denn es würgt die regionale Wirtschaft ab und trifft damit jeden, der in der Gegend wohnt und arbeitet.

Ich erwarte eine korrekte Online-Beschreibung und mache davon meine Kaufentscheidung abhängig.

Wenn die Beschreibung Features verspricht und nicht hält, wenn die Lieferung bzw. Rücksendung (aufgrund des Artikels an sich) für mich mit erheblichem Aufwand verbunden war, und wenn ich dann nicht mal ein freundliches Wort für den Irrtum erhalte - und wenn dieser Irrtum nach über vier Monaten noch immer so angepriesen wird - dann werte ich einfach mal ab.

Dieses Kauferlebnis war insgesamt nicht einmal einen Stern wert. Damals war der Kühlschrank nur bei Amazon erhältlich, daher gilt der eine Stern nicht nur für den Kühlschrank, sondern in diesem Fall für den Verkäufer, der sich (sonst zu Recht) als kundenfreundlichstes Unternehmen der Welt bezeichnet - hier aber nicht einmal imstande ist zu unterbinden, daß weiterhin (vermutlich hunderten) Kunden vor dem Kauf etwas versprochen wird, was nicht gehalten werden kann. Das ist einfach nur peinlich und weist nebenbei auf ein erhebliches Organisationsproblem in der Amazon-Artikelverwaltung hin.

Vermutlich ist Amazon jetzt doch schon etwas zu groß geworden um in Zukunft noch wirklich kundenfreundlich zu bleiben.
Helfen Sie anderen Kunden bei der Suche nach den hilfreichsten Rezensionen 
War diese Rezension für Sie hilfreich? Ja Nein
Missbrauch melden | Kommentar als Link
Kommentar Kommentare (26)


0 von 1 Kunden fanden die folgende Rezension hilfreich
5.0 von 5 Sternen einfach nur super, 9. Juli 2012
Von 
klaus - Alle meine Rezensionen ansehen
Rezension bezieht sich auf: Siemens KG39EAI40 Kühlgefrierkombination / A+++ / Kühlen: 247 L / Gefrieren: 89 L / chrome Inox-metallic / antiFingerprint / coolBox (Misc.)
Der Kühlschrank hält was er verspricht. Sprich Gemüse und Fleisch bleiben wirklich länger frisch. Er bietet ausreichen Platz für einen Vierpersonenhaushalt. Und die Anti-Fingerprint Oberfläche bleibt einfach sauber.

Das leichte säuseln was von ihm kommt is locker zu ertragen. Da sind andere echt lauter.

Alles in allem, bin ich mehr als zufrieden.
Helfen Sie anderen Kunden bei der Suche nach den hilfreichsten Rezensionen 
War diese Rezension für Sie hilfreich? Ja Nein
Missbrauch melden | Kommentar als Link
Kommentar Kommentar


2 von 3 Kunden fanden die folgende Rezension hilfreich
5.0 von 5 Sternen Kühlgefrierkompination, 5. Juli 2012
Von 
Martin Thomas - Alle meine Rezensionen ansehen
Verifizierter Kauf(Was ist das?)
Rezension bezieht sich auf: Siemens KG39EAI40 Kühlgefrierkombination / A+++ / Kühlen: 247 L / Gefrieren: 89 L / chrome Inox-metallic / antiFingerprint / coolBox (Misc.)
Der Kühlschrank erfüllt voll unsere Erwartungen. Gelungene Innenausstattung, schöne Beleuchtung des Innenraumes und ist zwar nicht zwingen notwendig, schöne Temperaturanzeige. Ich hoffe, dass er das auch in Bezug auf die Energieeffiziens und in der Haltbarkeit tut. Einzig nervt die kleine Klappe unterhalb des Gefrierfaches. Die steht manchmal offen, wodurch das Gefrierfach nicht schließt. Wenn man das einmal durchschaut hat ist das kein Problem.
Helfen Sie anderen Kunden bei der Suche nach den hilfreichsten Rezensionen 
War diese Rezension für Sie hilfreich? Ja Nein
Missbrauch melden | Kommentar als Link
Kommentar Kommentar

 "
;55;22. Jul 12;Jürgen;;5;tolles Gerät;Pünktliche schnelle Lieferung ohne Schäden.Verackung wurde von DHL gleich entsorgt.Entgegen aller Erfahrungsberichte hier ist unser Kühlschrank super leise,denke das der kühlschrank dafür auch fest und in der waage stehen muss.Aufteilung innen ist sehr paktisch,denke er wird uns die nächsten jahre gut begleiten.
;56;24. Jul 12;x091195x;;5;Liefert die richtige Temperatur fürs Bier;"Neuanschaffung für einen 6Personenhaushalt;  Ausführung in weiß für eine Nordküche; 3 Sterne  über 50 % weniger Strom als mein deutlich kleineres Altgerät von Miele; professionelle unbeschädigte Lieferung auf Wunschtermin frei Küche ohne Aufpreis; großes Lob an Amazon.de; ausgepackt und alleine in Position gebracht; leicht zu schieben auf einem Fliesenboden; mit einem 22er Schraubenschlüssel schnell ins Wasser gebracht, sofern der Stellplatz ok ist; 200cm genaue Höhe; sehr leises Kühlaggregat; komfortable Griffe; sehr guter Schließkontakt

Bedingt durch die tiefe Crisperbox für Gemüse und Obst fehlt mit eine weitere Abstellreihe ins-
besondere für Bierflaschen - sehr schade, muss jetzt öfter in den Keller.
Die Coolbox für Fleisch & Fisch ist sehr effektiv, tw. deutlich über das Vefalldatum.
Nichtvegetarier benötigen aber eine größere.

Sollte es der Platz hergeben, empfehle ich die Ausführung in 70cm Breite.
Bitte beachten: für die Türe des Gefrierteils ist eine 90°-Öffnung erforderlich, da andrenfalls
die Schübe am Innenfutter der Türe anecken - sofern diese Kühl-/Gefrierkombination in eine Ecke soll, ist ein Seitenabstand zur Wand von 5cm angebracht.

So und jetzt proooost"
;57;28. Jul 12;Manni;;5;Leiser, sehr guter Kühlschrank mit Top-Optik;Lieferung, Aufstellung und Mitnahme Altgerät hat super funktioniert. Gerät ist jetzt seit knapp 3 Monaten im Einsatz. Es läuft leise, die separaten Gemüse- und Fleischfächer funktionieren tatsächlich gut und auch das Anti- Fingerprint hält, was es verspricht. Es gibt also keinerlei negative Kritik, daher 5 Sterne.
;58;29. Jul 12;Richard Böhme;;5;Top Gerät - top Service;"Wir haben zwischen Bosch und Siemens geschwankt - haben uins letztlich für siemens entschieden. Ein technisch sehr gutes Gerät beste deutsche Wertarbeit. Der Kühlschrank ist sehr leise und hatte sich schnell auf die programmierte Temperatur eingepegelt.
Viel Platz im Innenraum und geringer Energieverbrauch waren für uns wichtig.
Der Preis und der Lieferservice bei Amazon ist unschlagbar."
;59;31. Jul 12;"Anderl ""andiathome74""";;3;GUT - mit einigen Abzügen;"Der Kühlschrank ist wirklich gut, aber....................

AntiFingerPrint = ist nicht AntiFingerPrint; man sieht trotzdem die Fingerabdrücke sehr deutlich! Den Aufpreis kann man sich wirklich sparen.

Die Geräusche - Wenn man eine offene Küche / Wohnbereich hat, sind die Geräusche des Kühlschranks ein wenig störend. Und ich bin nicht empfindlich. Die Geräusche beim Kühlen etc. sind sehr deutlich zu hören, auch wenn der Fernseher läuft oder wenn gesrochen wird!

Sonst gibt es bis jetzt wirklich nichts auszusetzen.
"
;60;07. Aug 12;"Marianne ""5kilokatze""";;5;Bewertung;"Habe den Kühlschrank eine Woche in Betrieb und kann einige Rezensionen nicht nachvollziehen.Betreffs der angeblichen lauten Geräusche,kann ich nur sagen,das ich mit dem Ohr an den Kühlschrank ganz dicht rangehen muss um überhaupt etwas zuhören.
Habe ihn wie in der Anleitung angegeben in Betrieb genommen.
Vorher habe ich den Türanschlag ohne Probleme gewechselt.Da ich keinen Lüfter hören konnte habe ich den Test wie angegeben durchgeführt,alles in Ordnung.
Allerdings würde ich doch gerne von anderen Käufern wissen wollen,wie ich sonst noch feststellen könnte ob der Lüfter in Betrieb ist.In der Anleitung leider kein Hinweis findbar.Auch für das OK Zeichen kein Hinweis(Leuchtet es wenn Temperatur stimmt?)
Eine direkte Temperaturanzeige würde ich besser finden,aber das tut der Qualität keinen Abbruch.
Die Entscheidung für Siemens war nur das er in Weiß lieferbar war.
Kann Ihn nur weiter empfehlen.
"
;61;07. Aug 12;Amazonian;;5;Bis jetzt ohne Beanstandungen;"Habe das Gerät seit 1 Monat in Betrieb und bin sehr zufrieden damit. Ein wichtiger Punkt war neben der Effizienz, die Betriebs-Lautstärke. Da wurde ich positiv überrascht. Der Kühlschrank ist recht leise, man könnte die Geräusche mit einem gluggern vergleichen oder wie wenn jemand mitten in der Nacht in einem Mehrfamilienhaus Wasser zapft und man die Fließgeräusche hört, allerdings auf seeehr leisem Niveau. Also kein nervendes Summen, wie bei meinem alten Kühlschrank. Nach dem öffnen und schließen des Kühlteils, läuft der Ventilator einen Moment im Inneren, aber auch der ist kaum zu hören, und schaltet sich auch recht zügig wieder ab.
Der Gefrierteil braucht bei erster Inbetriebnahme ziemlich lange bis er auf spürbare minusgrade kommt, hatte zunächst die Befürchtung das Gerät wäre defekt, da der Kühlteil recht schnell spürbar kalt wurde, sich jedoch bei der Kühlspirale im Gefrierteil fast garnix tat. Aber war alles ok, hat ca 15-20std gebraucht bis er das erste mal auf -18° gekommen ist.
Das Gerät ist beeindruckend riesig und bietet sehr viel Platz und Variationsmöglichkeiten ( hatte vorher nur nen kleinen Kühlschrank mit 2Sterne Gefrierfach). Gut finde ich zB das 2Liter Cola Flaschen in das Türfach reinpassen, was aufgrund des Durchmessers der großen Flasche doch bei anderen Kühlschränken problematisch ist und man sie entweder ""reinquetschen"" , oder in ein Fach hinein legen muss.
Anlieferung und Aufstellung hat reibungslos geklappt, Verpackungsmüll wurde mitgenommen. Alles Super!"
;62;09. Aug 12;Robert;;1;Enttäuschung pur!;"Habe das Gerät seit 1 Monat in Betrieb und bin sehr zufrieden damit. Ein wichtiger Punkt war neben der Effizienz, die Betriebs-Lautstärke. Da wurde ich positiv überrascht. Der Kühlschrank ist recht leise, man könnte die Geräusche mit einem gluggern vergleichen oder wie wenn jemand mitten in der Nacht in einem Mehrfamilienhaus Wasser zapft und man die Fließgeräusche hört, allerdings auf seeehr leisem Niveau. Also kein nervendes Summen, wie bei meinem alten Kühlschrank. Nach dem öffnen und schließen des Kühlteils, läuft der Ventilator einen Moment im Inneren, aber auch der ist kaum zu hören, und schaltet sich auch recht zügig wieder ab.
Der Gefrierteil braucht bei erster Inbetriebnahme ziemlich lange bis er auf spürbare minusgrade kommt, hatte zunächst die Befürchtung das Gerät wäre defekt, da der Kühlteil recht schnell spürbar kalt wurde, sich jedoch bei der Kühlspirale im Gefrierteil fast garnix tat. Aber war alles ok, hat ca 15-20std gebraucht bis er das erste mal auf -18° gekommen ist.
Das Gerät ist beeindruckend riesig und bietet sehr viel Platz und Variationsmöglichkeiten ( hatte vorher nur nen kleinen Kühlschrank mit 2Sterne Gefrierfach). Gut finde ich zB das 2Liter Cola Flaschen in das Türfach reinpassen, was aufgrund des Durchmessers der großen Flasche doch bei anderen Kühlschränken problematisch ist und man sie entweder ""reinquetschen"" , oder in ein Fach hinein legen muss.
Anlieferung und Aufstellung hat reibungslos geklappt, Verpackungsmüll wurde mitgenommen. Alles Super!"
;63;15. Aug 12;Kerstin Vogt;;5;Sachlich, schlicht, funktionell;Der Kühlschrank wirkt auch den ersten Blick sachlich und kühl, ist aber gut durchdacht und funktionell. Er macht wirklich Geräusche, wie einige Kunden beschrieben haben, die ich aber nicht als störend empfinde. Leider enthält dieses Modell nicht den Flaschenhalter aus Edelstahl und in der Tür ist es durch den zweiten Getränkeeinschub an der Seite gar nicht so einfach eine Flasche Wein unterzubringen. Ansonsten bin ich sehr zufrieden und würde ihn wieder kaufen.
;64;22. Aug 12;Ika;;5;völlig normale Lautstärke - Stiftung Warentest bestätigt dies auch;"Zeitgleich mit meiner Entscheidung mir den KG39EAI40 zu kaufen, kam der Stiftung Warentest Bericht über Kühlgefrierkombinationen heraus. Da das Gerät einen nicht gerade geringen Preis hat, habe ich mich von einigen Negativrezessionen bei Amazon verunsichern lassen, sodass ich die 2,50 Euro für den Testbericht für eine gute Investition hielt. Ich kann den Artikel (abrufbar über die Seite von Stiftung Warentest) nur jedem ans Herz legen, der bei der Vielzahl an angebotenen Geräten eine Entscheidungshilfe braucht. Mir zumindest hat er eine Bestätigung geliefert, dass ich mich für das richtige Gerät entschieden habe.

So konnte Stiftung Warentest meine Bedenken entkräften, dass die Siemens-Kühlgefrierkombination extrem laut sei. Es zeigte sich, dass sie im Vergleich zu anderen A+++ Geräten völlig normale Lautstärkewerte aufweist, die im Übrigen als nicht besonders laut eingestuft wurden. Einzig eine Gefrierkombination, die aber fast doppelt so teuer im Preis war, zeigte noch geringere Geräusche.

Ich habe die Kühl/Gefrier-Kombination nun seit über einem Monat in Betrieb. Hohe Lautstärkewerte kann ich tatsächlich nicht ausmachen, obwohl ich sie mit Juli und August in den heißesten Monaten des Jahres Betrieb genommen habe. Sie ist sogar wesentlich leiser als meine letzte Kühl/Gefrier-Kombination (Energieklasse A), der erst zwei Jahre in Betrieb war. Einzig in den ersten Stunden nach Inbetriebnahme war der Siemens-Kühlschrank laut, da er noch runtergekühlt werden musste. (Haben die Negativ-Rezensenten eventuell einfach nur die ersten Stunden abgewartet und dann den Kühlschrank frustriert zu Amazon zurückgeschickt?) Selbst wenn die Stromzufuhr eine halbe Stunde unterbrochen ist (ich habe es ausprobiert!), hört man ihn beim erneuten Anschalten kaum, da er die Kälte wirklich gut hält.

Im Stiftung Warentestartikel stand weiterhin, dass es sich bei der Crisperbox um kein richtiges Null-Gradfach handle, da die Temperaturen etwas höher seien. Das fand ich zunächst etwas enttäuschend, hat mich aber nicht vom Kauf abgehalten. Tollerweise konnte ich jetzt feststellen, dass sich mein Gemüse darin trotzdem unwahrscheinlich lange hält.

Auf der Antifingerprint-Schicht hinterlassen saubere Hände tatsächlich keine Fingerabdrücke, fettige aber schon. Das war aber auch zu erwarten und für mich nicht wirklich entscheidend.

Es lohnt sich übrigens, bei Amazon die Preise des Siemens Gerätes mit dem KGE39AI40 von Bosch zu vergleichen, da es sich bei diesen um baugleiche Kühlgefrierkombinationen handelt."
