,,,sterne_de,zeit,sterne,titel,beschreibung,
,,,5.0 von 5 Sternen,11. Juni 2013,5,Alles ok.,"Hab die Hose meiner Frau bestellt. Sie hat mittlererweile die zweite davon. Sie hat eine sehr gute Passform, trägt sich sehr, sehr angenehm, sowohl vom Schnitt her, wie auch vom Stoff.,Preis-Leistung ist sehr gut.",
,,,5.0 von 5 Sternen,10. Januar 2013,5,Absolut gut,"Für diesen Preis eine super Jogginghose. Die Grösse fällt optimal aus, auch in der Länge (1,65 m Grösse 38) (nicht zuuuu lang)-,Hat einen Bund oben und seitliche Taschen mit Reissverschluss. Also echt praktisch.",
,,,5.0 von 5 Sternen,11. Dezember 2012,5,Gewohnt Gute Adidas Qualität,"Meine Tochter ist ""ABSOLUT HAPPY"" mit dieser Adidas Hose ( hat übrgens auch die Jacke in gleicher Farbe dazu ).,Wie fast immer SEHR GUTE ""ADIDAS"" Qualität!!!",
,,,5.0 von 5 Sternen,10. Oktober 2012,5,Etwas zu lang,"Ich bin 1,60 m und mir ist die Hose in Größe 38 einen ticken zu lang. Ansonsten passt alles. Sie ist gut waschbar und hat bisher alles gut überstanden. Habe nichts auszusetzen.",
,,,5.0 von 5 Sternen,14. Januar 2014,5,klasse hose,"die hose ist sooo cool!!! wie beschrieben - nicht wirklich zum sport geeignet, aber das war klar.,die lieferung erfolgt promt und unkompliziert. gern immer wieder.",
,,,5.0 von 5 Sternen,20. November 2013,5,Sehr gute Passform.,Ich habe mir dir Hose für meine Fitnesskurse gekauft. Bisher hat sie gut durchgehalten und sitzt auch beim Zumba perfekt und behindert mich nicht. Ich bin sehr zufrieden.,
,,,4.0 von 5 Sternen,11. Januar 2013,4,"angenehme Hose, jedoch ziemlich durchsichtig.","Die Hose sieht gut aus, ist bequem, allerdings sehr durchsichtig. Ich würde sie nicht immer tragen, nur zu sportlichen Aktivitäten und hautfarbener Unterwäsche,",
,,,5.0 von 5 Sternen,19. November 2012,5,Adidas!,"Die Hose ist 1a.,Adidas for Life!,Ich trage die Hose im Alltag und nicht zum Sport.,Trage Größe 34 und die Hose passt genau.",
,,,5.0 von 5 Sternen,15. Mai 2014,5,Tolle Hose.,"Super Hose.  Wie gewohnt tolle adidas Qualität.  Farbe oliv ist wie abgebildet. Bin 1,60 m und Länge passt optimal also nix für groß gewachsene.",
,,,5.0 von 5 Sternen,3. Februar 2014,5,Jo,"Schöne Hose für zuhause, sitzt super, Farbe sehr schön, gefällt mir.,Angenehm zu tragen. Leicht zu waschen.,Lieber Gruss,,Heidi",
,,,5.0 von 5 Sternen,8. Februar 2013,5,Hose,"sitzt sehr gut, ich habe diese hose schon in dunkelgrau-pink und ich bin,sehr zufrieden, möchte beide hosen auch nicht mehr missen.",
,,,4.0 von 5 Sternen,31. Januar 2014,4,Weiße Hose Adidas,"Super Qualität Größe passt, ein Stern Abzug weil die weiße Hose etwas durchsichtig ist, aber wirklich nur ein wenig. Danke",
,,,4.0 von 5 Sternen,11. April 2013,4,Schöne Hose,Die Hose sieht gut aus und hat eine schöne pinke Farbe. Praktisch wie abgebildet. Sie könnte jedoch ca. 2 cm länger sein.,
,,,1.0 von 5 Sternen,20. Dezember 2012,1,habe etwas anderes erwartet,"schneller versand-5 tage,größe 40 war in ordnung(bin 1,70 und ca 68 kg)-der stoff unter aller kanone!!!!!!!,material statisch, sehr dünn und daher durchsichtig-fand ich am po sehr unangenehm,retoure",
,,,4.0 von 5 Sternen,5. November 2012,4,"Tolle Hose, aber die Farbe...","Die Hose passt ganz gut für den Durchschnittsmenschen, evtl. im Zweifel eine Nummer größer bestelen. Finde Die angedeutete Bundfalte voll witzig und originell für eine Jogginghose. Auch das Material ist von guter und robuster Qualität und nach der Reinigung sieht die Hose immernoch einwandfrei aus. Aber: in Farbe weiß, so wie ich sie bestellt habe, kann ich sie nicht empfehlen. Man sieht die Taschen, sowie die Unterwäsche durch :-( Echt schade, ansonsten top!",
,,,5.0 von 5 Sternen,7. Januar 2013,5,super,finde ich super das das so super geklappt hat werde ich wieder tun wenn ich so etwas suche und brauchen kann,
,,,3.0 von 5 Sternen,21. März 2013,3,"der Schnitt ist gut, Verarbeitung ist okay","der Schnitt ist super auch für etwas kräfigere Männer, die Farbe ist neutral und nicht impfindlich,das Material ist zu glänzend und fühlt sich nicht gut an",
,,,5.0 von 5 Sternen,28. Dezember 2012,5,Alles prima.,"Die Trainingshose von Adidas habe ich für den Freund meiner Tochter bestellt.,Gabs dann als Weihnachtsgeschenk.,Zu unser aller Freunde passt sie perfekt.,Bei einer Körpergröße von 1,80 passt auch die Länge hervorragend.",
,,,2.0 von 5 Sternen,7. Oktober 2013,2,Klassiker,"Die Hose ist ein Klassiker, aber die Verarbeitung und Qualität des Stoffes lassen bei regelmäßigem Gebrauch zu wünschen übrig.,Das Preis-/Leistungsverhältnis ist eigentlich inakzeptabel.",
,,,1.0 von 5 Sternen,8. September 2014,1,Oguz,"Ich hab meine hose noch nicht gekriegt,und es würde von meine konto abzocken das geld für die hose.bitte um erklärung",
,,,4.0 von 5 Sternen,16. März 2015,4,Super,"Die Hose fällt etwas kleiner aus (nicht sehr viel und beim tragen gibt sie durch,die körperwärme etwas nach.,Mein Mann ist zwar sportler und hat sehr trainierte beine aber nicht übermäßig,er ist dennoch zu frieden und bestellt auch gern immer wieder",
,,,5.0 von 5 Sternen,4. Mai 2013,5,Adidas Trainingshose Firebird in M,Ich bin mit diesem Artikel sehr zufrieden. Die Trainingshose ist super verarbeitet und sieht auch wie auf dem Bild aus. Nach dem Waschen sind keine Veränderungen zu erkennen. Der Stoff fühlt sich weich und eben an und ist bequem zu tragen. Deswegen: 5 Sterne :),
,,,5.0 von 5 Sternen,15. November 2014,5,Hervorragend verarbeitet und sehr gute Passform,Die Hose ist sehr gut verarbeitet und weist eine hervorragende Passform auf. Für mich als Träger der Konfektionsgräße 48/50 ist sie in Größe M ideal zugeschnitten. Die Farbe und der Schnitt in retro...top.,
,,,5.0 von 5 Sternen,28. April 2015,5,Lieblingsprodukt,Sehr bequem kann es nur empfehlen. Habe die dazu gehörige Jacke auch gekauft. Auch nach mehrmaligem waschen bleibt die Farbe und das Material wie neu. Werde mir wahrscheinlich noch andere Farben kaufen.,
,,,5.0 von 5 Sternen,4. Oktober 2014,5,Hammer!!,Die Hose ist super schnell angekommen und zudem ist sie wie man es sich vorstellt. Selbst wenn man seine eigene Größe bestellt ist sie etwas schlabbrig. Jedoch perfekt. Old School Look vom Feinsten:)!,
,,,5.0 von 5 Sternen,11. Juni 2012,5,Klasse,"Die Hose ist wie alle von adidas einfach nur klasse , habe drei stück,von der Sorte , würde diese auch immer wieder kaufen .....",
,,,5.0 von 5 Sternen,19. November 2014,5,Genau!,Produkt super! Und ich bin froh das ich die Bewertungen hier gelesen habe. Denn!!!!! Die Größe  fällt groß aus. Trage normal  L und habe mich hier zu M verleiten lassen........und das war gut so!,
,,,4.0 von 5 Sternen,15. März 2015,4,für Bohnenstangen,"Obwohl ich normalerweise M oder S trage, war diese Hose selbst in XS noch mindestens 7cm zu lang. Ich habe sie beim Schneider kürzen lassen, da sie ansonsten ganz schön und bequem ist.",
,,,5.0 von 5 Sternen,17. März 2014,5,Must have!,"Die Trainingshose Adidas  Firebird  wird von meinem Mann gern getragen, nicht nur zum Sport. In der kühlen Jahreszeit ist sie,auch beim Fahrradfahren nicht wegzudenken.",
,,,4.0 von 5 Sternen,22. November 2012,4,Gute Ware,"Trägt sich angenehm. Der Stoff ist überhaupt nicht zu dünn, wie in einer anderen Rezension behauptet wurde. Schönes Design und guter Schnitt. Etwas teuer in Schwarz...",
,,,5.0 von 5 Sternen,19. Oktober 2014,5,"Gute Qualität, wie erwartet. Danke",Die Hose ist sehr empfehlenswert und hat eine gute Qualität. Die Passform ist optimal. Perfekt zum Sport und Faulenzen. Danke.,
,,,5.0 von 5 Sternen,21. Oktober 2014,5,Trainingshose,"Die Hose sitzt sehr gut. Der Stoff, also das Material ist gut, so dass man es in der Freizeit, sowie beim Sport tragen kann.",
,,,5.0 von 5 Sternen,29. August 2014,5,Sehr Bequem,Diese Hose hat eine super Qualität und war auch angenehm zu tragen deswegen ist diese Hose nur weiter zu empfehlen.,
,,,4.0 von 5 Sternen,26. August 2014,4,Klassiker vor dem Herrn,"Einfach ne hammer Hose.,ob Sport oder Freizeit, ultra bequem und würde auch 5* bekommen, wenn die Größen nicht so übel wären !,Körpergröße 175cm und trage S",
,,,5.0 von 5 Sternen,13. Februar 2014,5,Adidas Originals Firebird,Hose kam super schnell an!! Trage sonst immer die Größe L die Hose fällt größer aus also die Größe M bestellt passt Super!!,
,,,5.0 von 5 Sternen,4. Dezember 2014,5,* Hy,"Also ich fand die Hose auch gut. Mußte sie aber zurück gehen lassen weil jeder sagt eine Nummer kleiner bestellen. Dann war da noch eine Rezension der war über 180 und was weiß der Kuckuck wie schwer. So groß und schwer bin ich nicht, und der hat Gr L bestellt und paßt. Also hab ich M bestellt und WAR ZU KLEIN. Jetzt müßte ich normal Gr XL bestellen, aber kann mir mal der Hersteller sagen warum sie dann so schweine teuer ist ??  Ich bin 176 groß und ~  70 kg schwer. Da bin ich ja mal gespannt.",
,,,5.0 von 5 Sternen,3. März 2014,5,Einfach Top Produkt!,"Also, die Trainingshose ist zu meiner vollsten Zufriedenheit. Ich habe absolut nichts auszusetzen. Da ich demnächst bei Mc Fit trainieren werde, war es mir ein Anliegen, mich nach einer weiteren Trainingshose umzusehen. Und bei Amazon bin ich letztendlich fündig geworden.,Das Produkt entspricht 1:1 der Artikelbeschreibung. Es gibt keinerlei Abweichungen.,Wie gewohnt, gibt es von Adidas ein hochwertiges Produkt, welches vorzugsweise zum Training, aber auch in der Freizeit getragen werden sollte.,Der Preis ist, wie ich finde, absolut gerechtfertigt.,Zur Größe gibt es keine Besonderheiten. Wer, wie ich bei Hosen die Größe M trägt, sollte auch genau diese Konfektionsgröße bestellen.,Definitiv eine Kaufempfehlung!",
,,,1.0 von 5 Sternen,26. September 2014,1,Ich bin absolut nicht zufrieden,"Trainingshose riecht sehr streng und auch nach mehrmaligem Waschen verschwindet der starke Geruch nicht. Ich zweifle an der Echtheit dieser Trainingshose, da die Hosenschilder und Marken-Logos komplett anders sind als bei meiner anderen Firebird-Trainingshose die ich bei Adidas erworben habe.",
,,,5.0 von 5 Sternen,22. Dezember 2013,5,Wie aus dem Laden,"Die Hose ist von erwartet guter adidas-Qualität.  Bei einer Körpergröße von 180 cm und einer Fußballerfigur (Hintern ;-) genügt Größe L reichlich. Dank der weit geschnittenen Beine fällt die Hose, wenn sie bei der Anprobe die Schuhe auslassen, gerade bis auf,den Fußboden.",
,,,5.0 von 5 Sternen,10. Oktober 2012,5,absolute Kaufempfehlung!,"Hose kam schon nach einem Tag an und passt bei Körpergröße 1.80 und normaler Statur in M perfekt! Die Qualität scheint auch gut zu sein, also alles in allem den Kauf wert!",
,,,4.0 von 5 Sternen,5. Juli 2014,4,Sehr bequem,Die Hosen habe ich für meinen Mann bestellt da er ins Krankenhaus musste . Mein Mann ist sehr zufrieden mit den Hosen da sie sehr bequem sind .,
,,,5.0 von 5 Sternen,19. September 2013,5,classic,"sehr cooler Klassiker, ist alles super gelaufen und sehr gute Qualität wie auch zu erwarten von adidas, ich empfehle sie weiter",
,,,5.0 von 5 Sternen,21. November 2014,5,Super,"Qualität und Passform sehr gut. Für die kalten Herbst - und Wintertage geeignet.,Für den Sommer zu warm. Ansonsten alles perfekt. Lieferung auch sehr zügig.",
,,,5.0 von 5 Sternen,16. März 2014,5,alles ok,"Ging alles sehr schnell, jederzeit wieder. Die Qualtiät ist sehr gut und der Preis ist so auch in Ordnung. Bekommt man im Sportladen nicht für diesen Preis.",
,,,5.0 von 5 Sternen,15. August 2013,5,Gute Ware,"Schnelle Lieferung, gute Ware, da Markenhose, etwas zu lang, aber kein Problem, die Hose wurde gekürzt, sonst ist die Hose von der Qualität her sehr gut.",
,,,5.0 von 5 Sternen,3. Juli 2013,5,:-),"Die Hose ist bequem und sieht gut aus, weshalb man mit ihr auch vor die Tür gehen kann. Typisch adidas.",
,,,5.0 von 5 Sternen,24. Januar 2015,5,Sehr zufrieden!,"Eine Superhose zu einem guten Preis, passt und sitzt perfekt. Sehr gute Verarbeitung und ist angenehm zu tragen. Eine klare Empfehlung!",
,,,4.0 von 5 Sternen,22. Januar 2015,4,adidas jogging,Lässig und für Adidas preiswert.  (kann mir Einer sagen warum man soviele Wörter bei der Rezension braucht? Ich mags kurz und knapp),
,,,5.0 von 5 Sternen,12. April 2015,5,Eben Adidas,"Passt wie erwartet, sieht geil aus wie erwartet, nach mehreren Wäschen immer noch tiefes schwarz, eben ein gutes Teil von Adidas!",
,,,5.0 von 5 Sternen,7. März 2014,5,"Hatte dieselbe Hose schonmal, und habe deshalb jetzt dieselbe nochmals gesucht, weil sehr zufrieden","Die ist sehr angenehm zu tragen, sitzt einfach gut, hatte dieselbe schon mal! Angenehmer Feierabend damit für's Sofa, oder joggen",
,,,5.0 von 5 Sternen,16. August 2013,5,Gefällt mir sehr gut!,"Ich habe eine Trainingshose gesucht, welche ich ab und zu mal zu Hause tragen kann und vielleicht 2-3 mal beim Sport. Mir war klar das es eine Adidas wird, da es die besten sind.,Schlichtes Design, schwarz halt, guter Preis, passende Grösse also direkt bestellt.,Nach 2 Tagen war sie dann da. Sie passte, sah gut aus, genau das was ich wollte!",
,,,3.0 von 5 Sternen,19. Dezember 2013,3,eher für Damen,"Hab die hose für meinen mann bestellt. Der war sehr,Enttäuscht. Die saß bei ihm wie eine typische damenhose.,Dann hab ich sie anprobiert (bin eine Frau)...,Und perfekt! Jetzt hab ich sie behalten... Tja aber mein,Mann war sehr enttäuscht :(",
,,,5.0 von 5 Sternen,11. Oktober 2013,5,Wer eine stylische Chillerhose sucht...,"hier zuschlagen =)!,Passt natürlich perfekt zu der Firebirdjacke von Adidas.,* Qualität wie immer sehr gut bei Adidas,* nach mehrmaligem Waschen immer noch ohne Abnutzungserscheinungen,Klare Kaufempfehlung!!!",
,,,3.0 von 5 Sternen,5. Februar 2013,3,nicht schlecht,"Die Hose war leider viel zu groß - die Qualität allerdings war super. Ich kann die Hose weiter empfehlen, aber bitte eine Konfektionsgrlße kleiner bestellen!",
,,,5.0 von 5 Sternen,25. Januar 2015,5,Hochwertig,Die Hose passt in der Größe M bei mir sehr gut. Alles ist gut gearbeitet und macht einen wertigen Eindruck. Der Stoff fühlt sich sehr angenehm an.,
,,,5.0 von 5 Sternen,9. April 2014,5,"super ware,,,,,,,,,,guter service","super qualität ..top design,,,,und trägt sich sehr gut ,........in zwei tagen waren die hosen da......das nenn ich service vom feinsten,,,,,,,,",
,,,1.0 von 5 Sternen,4. Dezember 2014,1,Passt nicht,"Ist einfach ne Hose für Lauchs, Obenrum viel zu eng, untenrum viel zu lang, kann man echt nur tragen wenn man son 60 Kilo Spaddel ist, aber Adidas halt...",
,,,4.0 von 5 Sternen,18. Mai 2014,4,Super,"Tolle Trainingshose, guter Stoff, sieht einfach gut aus und trägt sich auch sehr gut.,Bin sehr zufrieden mit dem Kauf",
,,,2.0 von 5 Sternen,3. Dezember 2012,2,gute Hose,"Gute Hose, nur nicht das was ich gesucht habe. Leider zu weit, zu dick und irgendwie doch nicht meins... leider...",
,,,2.0 von 5 Sternen,10. Mai 2013,2,Größen passen nicht,",Zuerst bekam ich die Hose in M. Passte sehr gut,aber leider ""Hochwasser"".Bin 183 cm.,Umgetauscht in L. Länge passt jetzt, aber der Rest ist min. XXL.Wieder zurück.",
,,,5.0 von 5 Sternen,3. April 2014,5,Top Preis-Leistungsverhältnis,"Shirt passt absolut Super.,Sehr gute Qualität zu günstigem Preis.,Ähnliche Shirts oft deutlich höherpreisiger.,Deshalb, wer so etwas sucht, klare Kaufempfehlung👍",
,,,4.0 von 5 Sternen,24. März 2014,4,Top Top Top,"super shirt - es macht was es soll, den körper trocken halten.,Einziger Nachteil man sieht die schweißfecken beim training, was aber nicht weiter tragisch ist.",
,,,5.0 von 5 Sternen,19. März 2014,5,Qualität,"Nach dem ich bereits mehrere Unterziehshirts getestet habe, ist das von Nike mit Abstand das beste!,Breiter Bund, verrutscht kaum und die Größenangabe passt!,Sehr gute Wahl!",
,,,5.0 von 5 Sternen,3. August 2013,5,TOP!!!,"+ Super Qualität,+ Sitzt wie eine 2-te Haut (reizt die Haut nicht / passt sich perfekt den Körperkonturen an),+ Transportiert den Schweiß beim Training sehr gut vom Körper weg,+ Angenehm kühl beim Training,+ Sehr dehnbar (macht jede Bewegung Perfekt mit),+ Trotz Größe ""S"" ist das Shirt sehr lang,____________________________________________________________________,Es gibt an dem Shirt NICHTS zu bemängeln.",
,,,5.0 von 5 Sternen,20. April 2015,5,Bin sehr zufrieden.,"Hallo an alle,,wie oben schon zusammengefasst, bin ich sehr zufrieden. Die Größe ist wie in der Tabelle angegeben, das Shirt ist gut verarbeitet, kühlt bei Schweißbildung. Mal sehen wie es nach einigen Waschgängen aussieht und ob das Elastan dann noch so gut seine Arbeit macht ;),Mit freundlichen Grüßen,D.P.",
,,,5.0 von 5 Sternen,7. Mai 2015,5,DAUMEN HOCH!!!!!,Ein super funktionsshirt! Ich optisch einfach klasse sehr gute Verarbeitung. Deutlich teurere Produkte kommen zumindest optisch nicht an das hier ran. Es hält das was es verspricht! Zu diesem Preis kann ich es nur weiterempfehlen!!! Jedoch findet man auf anderen Seiten das gleiche Produkt für 4-5 Euro günstiger. Vergleichen lohnt sich!,
,,,2.0 von 5 Sternen,6. Januar 2015,2,schlechtes bild,"anders wie auf dem bild (rot) sind die streifen auf den funktionsshirt rosa.....ich hab extra 7 euro mehr bezahlt um es in dieser farbkombination zu bekommen, und dann sowas. da shirt an sich ist super und angenehm zu tragen aber es sieht nicht so aus wie auf dem bild deshalb 2 sterne",
,,,5.0 von 5 Sternen,9. Mai 2015,5,Schönes Teil,"Ich hab ein wenig gestöbert und bin hier drüber gestolpert,Wollte was für AH drunter zu ziehen,Semi professioneller Fußball...,Alle sgut, Top Teil,Bei mir passte es in meiner üblichen Größe",
,,,5.0 von 5 Sternen,12. September 2014,5,Klasse Shirt!!!!,"Super angenehmes Shirt, benutze es zum Joggen und erfüllt dabei absolut seinen Zweck!!! Zudem angenehmer Stoff auf der Haut sowie ein sehr schönes Design!!! Shirt fällt etwas lang aus ansonsten gute Passform",
,,,5.0 von 5 Sternen,17. Januar 2015,5,Gut,Gutes Shirt - angenehm auf der Haut - Nach 4x Waschen immer noch sehr gut und eng. Nix zu meckern,
,,,5.0 von 5 Sternen,27. November 2014,5,Wie beschrieben,"Ich habe aufgrund einiger Rezensionen eine Größe kleiner bestellt als sonst. Dies war meiner Ansicht nach nicht gut, das Shirt sitzt zu eng. Also ruhig in der normalen Größe bestellen.",
,,,5.0 von 5 Sternen,16. November 2014,5,Perfekt,"Ich bin jahrelanger Kunde bei Amazon und habe noch nie eine Kundenrezension verfasst, aber diese Shirts haben eine Top Bewertung einfach verdient.,Ich habe mir vor ca einem halben Jahr mein erstes Nike Pro Core Compression Shirt gekauft und war so begeistert dass ich mir gleich 2 weitere bestellte.,Nach einem halben Jahr sehen sie trotz regelmäßiger Nutzung immernoch aus wie neu und haben auch nichts groß einstecken müssen.,Zur Qualität gibt es nicht viel zu sagen, sie liegen am Körper wie eine 2. Haut ohne unangenehm zu wirken, kühlen den Körper und wärmen zugleich auch.,Schweissflecken sind nicht zu vermeiden bei harter körperlicher Belastung aber diese fallen hier deutlich geringer aus als bei anderen Shirts.,Und neben der hammer Qualität sehen diese Teile einfach umwerfend aus bei entsprechendem Körperbau.,Ich trage M, bin 1,78m groß und wiege aktuell 84kg bei wenig Körperfett.,Habe mir jetzt 2 weitere Shirts bestellt und meine Sammlung auf 5 erhöht, in diesem Sinne, absolute Kaufempfehlung!",
,,,5.0 von 5 Sternen,26. August 2014,5,sitzt passt und hat Luft,"Das T-Shirt sitzt gut und bietet ausreichend Bewegungsfreiheit. Zur Größe möchte ich erwähnen, dass M bei weitem ausreicht für jemanden mit einer Größe von 1,83 bei ca 80 KG.",
,,,5.0 von 5 Sternen,3. April 2014,5,super t-shirt,"schönes passgenaues nike t-shirt, sitz, passt, und ist bequem zu tragen da der schweiß gut nach außen drinkt und man sich frei bewegen kann",
,,,5.0 von 5 Sternen,18. Januar 2014,5,"Gute Schnitt, angenehmt zu tragen","Das top ist sehr angenehm zu tragen. Liegt eng an, aber das ist ja auch der Sinn der Übung: Schließlich will man beim Training auch gut aussehen. :-),Verarbeitung 1a, auch nach vielmaligem Waschen ist die passform komplett unverändert. Deshalb volle Punktzahl.",
,,,5.0 von 5 Sternen,4. Mai 2015,5,Gute qualität,"Super shirt von Nike, top für sportler und fitness fans. Material ist von der Beschaffenheit echt klasse und auch beim Waschen keine Probleme, trocknet sehr schnell.",
,,,5.0 von 5 Sternen,23. Juli 2014,5,Top,"Sehr angenehm zu tragen, gute Passform und tolle Farben zur Auswahl!!!! Klare Kaufempfehlung meinerseits, bei diesem Preis unschlagbar sowie eine tolle Verarbeitung",
,,,5.0 von 5 Sternen,5. Dezember 2013,5,Das beste Kompressionsshirt,"Das Shirt sitzt angenehm eng ohne dabei einzuengen oder auf der Haut zu scheuern.,Die Passform bleibt auch nach mehreren Wäschen bestehen.,Der ""kühlende"" Effekt ist deutlich spürbar.,Verglichen mit anderen Shirts die teilweise scheuern/schlecht sitzen/ein engen usw. das zumindest für mein Empfinden beste Kompressionsshirt der Preisklasse !",
,,,4.0 von 5 Sternen,17. September 2014,4,In Ordnung...,"Das Shirt hat soweit gut ausgesehen, leider war es jedoch meinem Mann zu klein, obwohl M normal seine Größe ist. Daher meine Empfehlung eine Größe größer....",
,,,5.0 von 5 Sternen,18. September 2014,5,Auch Nummer 2 ist top!,"Super Produkt. Sitzt in XL bei meinem Freund hauteng, so wie es sein muss. Er nutzt es zum Unterziehen beim Joggen und Fussball Kann ich nur empfehlen!",
,,,5.0 von 5 Sternen,16. September 2014,5,Prima Shirt,"Bei 1,86m und 86 kg (eher athletische Figur, breites Kreuz mit trainierter Nackenmuskulatur) passt XXL hervorragend. Ist vielleicht ein bissl lang, aber das ist ja auch gut so. Wer 1,80m groß ist und etwa 80 kg wiegt, für den dürfte sicherlich bereits XL vollkommen genügen (und zwar auch ohne das Shirt krampfhaft nach unten ziehen zu müssen). Ich hatte mich vor dem Kauf durch Anprobe beider Größen in einem Kaufhaus abgesichert. Achtung: Das Shirt darf materialbedingt nur auf 30°C gewaschen werden. An der Qualität gibt es nichts zu meckern. Wer statt eines Sixpacks eher ein leichtes Bäuchlein hat, der kann es hiermit schön ""zur Schau tragen"". Wer jedoch eine Bierplauze hat, tut sich mit solch einem Shirt keinen Gefallen. Die Kompression hat nämlich nichts mit der von Stützstrümpfen oder Bauch-weg-Miedern zu tun. Das Shirt liegt einfach nur hauteng an, ohne dabei großartig Druck zu erzeugen (es fühlt sich eher wie so eine Art leichte Spannung an). Interessanterweise nutzen viele Fußballer das Comp Shirt als Unterhemd unter ihren Trikots (also quasi als ""Unterwäsche""). Ich trage es ganz normal als Oberbekleidung. Sieht cool aus in Black/Cool Grey! :-)",
,,,4.0 von 5 Sternen,13. Oktober 2013,4,im Gegensatz zum Vorgängermodell..,"..leider nun ohne ""Gummi"" am Bund, schade. Damit rutscht das Shirt schon ein wenig nach oben, bei Bewegung. ( Trage diese Shirt als Unterhemd im Rettungsdienst) Ansonsten wie gewohnt sehr gut verarbeitet, für mich als sehr schlanken Mann nicht zu weit, trägt sich sehr angenehm auf der Haut, trocknet schnell ab und leitet die Feuchtigkeit nach außen ab. Mein mittlerweile insgesamt 5 Shirt dieses und des vorherigen Modells.",
,,,5.0 von 5 Sternen,19. August 2013,5,Klare Empfehlung,"kurz und bündig, mit dem Shirt macht man nichts falsch.,Klasse tragegefühl, perfekte entlüftung und der preiß stimtm auch.,klare kaufempfehlung",
,,,5.0 von 5 Sternen,3. Februar 2015,5,"Genau so top wie Addidas, eventuell sogar besser!","Was soll man da groß Schreiben, Funktionskleidung auf die man sich verlassen kann ... transportiert die Feuchtigkeit weg vom Körper und sitzt perfekt!",
,,,5.0 von 5 Sternen,7. Januar 2015,5,Lieber eine Nummer Größer,"Super Material gute Verarbeitung!,Bei 1,80 Meter Größe und 70 Kilo sollte man aber  zur Größe M greifen sonst wird es am Oberkörper arg eng.",
,,,3.0 von 5 Sternen,27. Juni 2014,3,Passform für mich leider nicht ideal,"Die Passform passt für mich leider nicht, ich bin an der Taille sehr schlank gebaut, habe aber breitere Schultern. Oben war das Hemd zu eng unten zu weit. Ansonsten ist das Material sehr angenehm und sicher empfehlenswert.",
