,,,sterne_de,zeit,sterne,titel,beschreibung
,,,5.0 von 5 Sternen,16. November 2014,5,Perfekt,"Ich bin jahrelanger Kunde bei Amazon und habe noch nie eine Kundenrezension verfasst, aber diese Shirts haben eine Top Bewertung einfach verdient.,Ich habe mir vor ca einem halben Jahr mein erstes Nike Pro Core Compression Shirt gekauft und war so begeistert dass ich mir gleich 2 weitere bestellte.,Nach einem halben Jahr sehen sie trotz regelmäßiger Nutzung immernoch aus wie neu und haben auch nichts groß einstecken müssen.,Zur Qualität gibt es nicht viel zu sagen, sie liegen am Körper wie eine 2. Haut ohne unangenehm zu wirken, kühlen den Körper und wärmen zugleich auch.,Schweissflecken sind nicht zu vermeiden bei harter körperlicher Belastung aber diese fallen hier deutlich geringer aus als bei anderen Shirts.,Und neben der hammer Qualität sehen diese Teile einfach umwerfend aus bei entsprechendem Körperbau.,Ich trage M, bin 1,78m groß und wiege aktuell 84kg bei wenig Körperfett.,Habe mir jetzt 2 weitere Shirts bestellt und meine Sammlung auf 5 erhöht, in diesem Sinne, absolute Kaufempfehlung!"
,,,5.0 von 5 Sternen,26. August 2014,5,sitzt passt und hat Luft,"Das T-Shirt sitzt gut und bietet ausreichend Bewegungsfreiheit. Zur Größe möchte ich erwähnen, dass M bei weitem ausreicht für jemanden mit einer Größe von 1,83 bei ca 80 KG."
,,,5.0 von 5 Sternen,3. April 2014,5,super t-shirt,"schönes passgenaues nike t-shirt, sitz, passt, und ist bequem zu tragen da der schweiß gut nach außen drinkt und man sich frei bewegen kann"
,,,5.0 von 5 Sternen,18. Januar 2014,5,"Gute Schnitt, angenehmt zu tragen","Das top ist sehr angenehm zu tragen. Liegt eng an, aber das ist ja auch der Sinn der Übung: Schließlich will man beim Training auch gut aussehen. :-),Verarbeitung 1a, auch nach vielmaligem Waschen ist die passform komplett unverändert. Deshalb volle Punktzahl."
,,,5.0 von 5 Sternen,4. Mai 2015,5,Gute qualität,"Super shirt von Nike, top für sportler und fitness fans. Material ist von der Beschaffenheit echt klasse und auch beim Waschen keine Probleme, trocknet sehr schnell."
,,,5.0 von 5 Sternen,23. Juli 2014,5,Top,"Sehr angenehm zu tragen, gute Passform und tolle Farben zur Auswahl!!!! Klare Kaufempfehlung meinerseits, bei diesem Preis unschlagbar sowie eine tolle Verarbeitung"
,,,5.0 von 5 Sternen,5. Dezember 2013,5,Das beste Kompressionsshirt,"Das Shirt sitzt angenehm eng ohne dabei einzuengen oder auf der Haut zu scheuern.,Die Passform bleibt auch nach mehreren Wäschen bestehen.,Der ""kühlende"" Effekt ist deutlich spürbar.,Verglichen mit anderen Shirts die teilweise scheuern/schlecht sitzen/ein engen usw. das zumindest für mein Empfinden beste Kompressionsshirt der Preisklasse !"
,,,4.0 von 5 Sternen,17. September 2014,4,In Ordnung...,"Das Shirt hat soweit gut ausgesehen, leider war es jedoch meinem Mann zu klein, obwohl M normal seine Größe ist. Daher meine Empfehlung eine Größe größer...."
,,,5.0 von 5 Sternen,18. September 2014,5,Auch Nummer 2 ist top!,"Super Produkt. Sitzt in XL bei meinem Freund hauteng, so wie es sein muss. Er nutzt es zum Unterziehen beim Joggen und Fussball Kann ich nur empfehlen!"
,,,5.0 von 5 Sternen,16. September 2014,5,Prima Shirt,"Bei 1,86m und 86 kg (eher athletische Figur, breites Kreuz mit trainierter Nackenmuskulatur) passt XXL hervorragend. Ist vielleicht ein bissl lang, aber das ist ja auch gut so. Wer 1,80m groß ist und etwa 80 kg wiegt, für den dürfte sicherlich bereits XL vollkommen genügen (und zwar auch ohne das Shirt krampfhaft nach unten ziehen zu müssen). Ich hatte mich vor dem Kauf durch Anprobe beider Größen in einem Kaufhaus abgesichert. Achtung: Das Shirt darf materialbedingt nur auf 30°C gewaschen werden. An der Qualität gibt es nichts zu meckern. Wer statt eines Sixpacks eher ein leichtes Bäuchlein hat, der kann es hiermit schön ""zur Schau tragen"". Wer jedoch eine Bierplauze hat, tut sich mit solch einem Shirt keinen Gefallen. Die Kompression hat nämlich nichts mit der von Stützstrümpfen oder Bauch-weg-Miedern zu tun. Das Shirt liegt einfach nur hauteng an, ohne dabei großartig Druck zu erzeugen (es fühlt sich eher wie so eine Art leichte Spannung an). Interessanterweise nutzen viele Fußballer das Comp Shirt als Unterhemd unter ihren Trikots (also quasi als ""Unterwäsche""). Ich trage es ganz normal als Oberbekleidung. Sieht cool aus in Black/Cool Grey! :-)"
,,,4.0 von 5 Sternen,13. Oktober 2013,4,im Gegensatz zum Vorgängermodell..,"..leider nun ohne ""Gummi"" am Bund, schade. Damit rutscht das Shirt schon ein wenig nach oben, bei Bewegung. ( Trage diese Shirt als Unterhemd im Rettungsdienst) Ansonsten wie gewohnt sehr gut verarbeitet, für mich als sehr schlanken Mann nicht zu weit, trägt sich sehr angenehm auf der Haut, trocknet schnell ab und leitet die Feuchtigkeit nach außen ab. Mein mittlerweile insgesamt 5 Shirt dieses und des vorherigen Modells."
,,,5.0 von 5 Sternen,19. August 2013,5,Klare Empfehlung,"kurz und bündig, mit dem Shirt macht man nichts falsch.,Klasse tragegefühl, perfekte entlüftung und der preiß stimtm auch.,klare kaufempfehlung"
,,,5.0 von 5 Sternen,3. Februar 2015,5,"Genau so top wie Addidas, eventuell sogar besser!","Was soll man da groß Schreiben, Funktionskleidung auf die man sich verlassen kann ... transportiert die Feuchtigkeit weg vom Körper und sitzt perfekt!"
,,,5.0 von 5 Sternen,7. Januar 2015,5,Lieber eine Nummer Größer,"Super Material gute Verarbeitung!,Bei 1,80 Meter Größe und 70 Kilo sollte man aber  zur Größe M greifen sonst wird es am Oberkörper arg eng."
,,,3.0 von 5 Sternen,27. Juni 2014,3,Passform für mich leider nicht ideal,"Die Passform passt für mich leider nicht, ich bin an der Taille sehr schlank gebaut, habe aber breitere Schultern. Oben war das Hemd zu eng unten zu weit. Ansonsten ist das Material sehr angenehm und sicher empfehlenswert."
,,,5.0 von 5 Sternen,29. Juni 2014,5,Die Geheimwaffe der Athleten! (Ich empfehle eine Größe kleiner als normal),"Einfach immer wieder gut dieses Nike Pro. Auch jetzt in der neuen Generation.,(Diese erkennt man z.b. an der Umlaufenden Naht vorne auf Bauchnabelhöhe) das alte Pro hatte da keine weiße Naht.,Ich würde das Shirt eine Nummer kleiner als normal nehmen, dann ist es schön eng (aber auch noch nicht zu eng).,So hat man eine richtig schöne Kompression und man spürt seine Muskeln richtig.,ich verwende bei 101.Kg und 1,91 Meter Athletisch. Größe L anstatt XL.,Beim Training fühlt man sich einfach Trocken da der Schweiß nach außen Transportiert wird. Ebenso kühlt das Shirt leicht auf der Haut.,Trotzdem bleibt die eigentliche Wärme aber im Körper. Genial!,Mit dem Shirt Trainiert es sich einfach immer besser und angenehmer. Man fühlt sich einfach Klasse,,Ich will nicht mehr ohne!"
,,,5.0 von 5 Sternen,10. Juli 2014,5,Nike Herren shirt,Habe bereits mehrere Shirts gekauft und bin damut sehr zufrieden. Die Passform ist hervorragend. Das Tragegefühl ist sowohl bei Wärme/Hitze als auch bei Kälte super. Bzgl. der Größe empfehle ich eine Nr. größer als die normale Kleidergröße zu wählen.
,,,4.0 von 5 Sternen,4. Juli 2014,4,Wie eine zweite Haut,"Fällt kleiner aus als gedacht und rutscht beim Laufen hoch, da es keinen Gummibund besitzt. Ansonsten top und ein klasse Tragegefühl ohne spürbare Nähte."
,,,5.0 von 5 Sternen,20. Juli 2014,5,Super Traningsshirt,"Passt wie angegossen. Schönes Design, Passform normal, macht was es soll... :),Ist also seinen Preis wert, hab mir noch eins bestellt."
,,,4.0 von 5 Sternen,19. April 2015,4,Nike Pro Combat Black,"Sehr schöner Artikel der Marke Nike,Liegt wie erwartet eng am Körper und ist ideal für den Sport,Immer wieder gerne!"
,,,5.0 von 5 Sternen,14. April 2014,5,Sehr gute Qualität,"Mein erstes Teil von NIKE und ich muß sagen es erfüllt in allen Punkten meine Vorstellungen,sehr dehnbar, ist schnell trocken, feuchtigskeittransport nach außen sehr gut.,Einfach perfekt, würde ich immer wieder kaufen."
,,,5.0 von 5 Sternen,14. Mai 2014,5,Sehr angenehm zu tragen...,"Sehr gute Qualität. Größe fällt ganz normal aus, passt perfekt. Ideal während des Fußballtrainings. Können es auf jeden Fall weiter empfehlen.,Sehr schnelle Lieferung, alles TOP!!"
,,,1.0 von 5 Sternen,6. Mai 2014,1,Too small,"For me Medium was too tight (I always have medium easily, except for Italian labels, where I have to wear Large), so I gave them to my nephew."
,,,5.0 von 5 Sternen,23. Juli 2014,5,Super Tragekomfort und günstig,"Sitz Super, ich selber nutze es zum joggen und bin irklich überrascht wie angenehm das Material ist!!! Klare Kaufempfehlung meinerseits"
,,,5.0 von 5 Sternen,16. Mai 2014,5,Empfehlenswert,"Habe das Shirt für meinen Freund gekauft. Der ist absolut zufrieden. Er hat bereits ein solches Shirt von Nike, das er allerdings vom Sportgeschäfft hatte (war dort wesentlich teurer)"
,,,5.0 von 5 Sternen,7. Dezember 2014,5,"Fällt klein aus, sonst Top","Habe normalerweise die Größe M und habe sie aber in Größe XL gekauft, jetzt sitzt es perfekt. Es ist sehr angenehm zu tragen und habe es schon auf den ersten Trekkingtouren ausprobiert. Auch wenn man völlig verschwitzt ist, trocknet der Schweiß auf der Oberfläche des T-Shirts. Musste es bei einer Zwei-Tage-Tour ohne Ersatz tragen. Hatte es Abends nur gelüftet und hat am nächsten Tag nicht nach Schweiß gerochen. Habe mir es gleich noch zweimal nachbestellt, in Schwarz und Grau."
,,,5.0 von 5 Sternen,2. Dezember 2014,5,"Super Shirt als Unterhemd, preiswert","Dieses Shirt eignet sich sehr gut als Unterhemd, wobei es entstehenden Schweiß zügig abführt (dabei fühlt es sich kühl an).,Durch die sehr enge Passform vermittelt das Shirt ein sportliches Gefühl.,Das Nike-Logo scheint unter Umständen durch.,Natürlich muss man solche Materialen nach dem Tragen mit Wasser spülen, oder gleich waschen, um dauerhafte Gerüche im Stoff zu vermeiden. Wenn man es nass aufhängt, dann trocknet es zügig (im Vergleich zu Baumwolle)."
,,,3.0 von 5 Sternen,30. Januar 2015,3,Kunstfaser...,"Wie beschrieben, sitzt dieses Shirt hauteng am Körper. Gerade diese Enge, verbunden mit der Kunstfaser direkt auf der Haut, finde ich nicht besonders angenehm. Zwar transpotiert das Material Feuchtigkeit gut nach außen, dennoch schwitzt man überraschend schnell in diesem Shirt und das fühlt sich dann irgendwie so an, als wenn man eine Kunststofffolie auf der Haut hat. Auch die am Bauch quer verlaufende Naht finde ich nicht so toll."
,,,5.0 von 5 Sternen,3. Juni 2014,5,Top!,"Einfach super, spitzen Verarbeitung, angenehm zu tragen!,Kann ich wirklich nur weiter empfehlen. Ich nutze es selbst bereits seit einigen Wochen regelmäßig und es weisst noch keine Abnutzungsspuren auf."

