appendComment,pics,rateContent,rateDate,reply,serviceRateContent,userInfo
,"//img.alicdn.com/bao/uploaded/i1/154870102002712950/TB24YHncVXXXXaqXXXXXXXXXXXX_!!1032335487-0-rate.jpg,//img.alicdn.com/bao/uploaded/i1/154870102002728254/TB2v6jmcVXXXXaVXXXXXXXXXXXX_!!1032335487-0-rate.jpg//img.alicdn.com/bao/uploaded/i1/154870102002712950/TB24YHncVXXXXaqXXXXXXXXXXXX_!!1032335487-0-rate.jpg,//img.alicdn.com/bao/uploaded/i1/154870102002728254/TB2v6jmcVXXXXaVXXXXXXXXXXXX_!!1032335487-0- rate.jpg","还好吧，东西应该是正品，物流从上海运到南京，足足花了6天时间，25号拍的，今天才到，无力吐槽。Okay, was sollte echt sein, die Logistik von Shanghai nach Nanjing, nahm ihn sechs Tage Zeit, am 25. Schuss, nur heute nicht Tucao.",2015-05-31 16:26:572015.05.31 16.26.57,"您好，感谢您对PUMA商品的支持！Hallo, ich danke Ihnen für Ihre Unterstützung PUMA Produkt!针对您反馈物流问题我们也十分的重视，我们会定期和物流公司沟通配送等相关的问题，由于您的订单是在5月25日的订单，5月25日完成发货，5月31日签收商品，因恰逢我们的活动周期，所以再不同程度订单量较大，圆通物流配送力度也会受到一定的影响。Logistik für Ihre Rückmeldung Wir sind sehr besorgt, und wir kommunizieren regelmäßig und Logistik Vertrieb und andere damit zusammenhängende Fragen, weil Ihr Auftrag, um in der 25. Mai und 25. Mai, um die Übermittlung durchzuführen, am 31. Mai zu unterzeichnen Ware aufgrund mit unseren Aktivitätszyklus zusammenfallen, so dass eine große Menge von Nachbestellungen in unterschiedlichem Maße, Taktgefühl Logistik und Vertrieb Bemühungen werden zu einem gewissen Grad beeinflusst werden.给您带来不便非常抱歉！Wir entschuldigen uns für die Unannehmlichkeiten!如果您在之后的活动中有任何的问题都可以及时和我们联系呦！Wenn Sie irgendwelche Fragen nach der Veranstaltung haben uns sofort in Verbindung treten Yo!感谢您的理解及支持！Vielen Dank für Ihr Verständnis und Ihre Unterstützung!",,
,,不错哦Nun ja,2015-05-31 13:01:112015.05.31 13.01.11,,,
,,"发货慢，其余还好Langsame Lieferung, der Rest in Ordnung",2015-05-31 09:42:002015.05.31 09.42.00,"您好，感谢您对PUMA商品的支持！Hallo, ich danke Ihnen für Ihre Unterstützung PUMA Produkt!针对您反馈物流问题我们也十分的重视，我们会定期和物流公司沟通配送等相关的问题，由于您的订单是在5月25日的订单，5月27日完成发货，5月30日签收商品，因恰逢我们的活动周期，所以再不同程度订单量较大，圆通物流配送力度也会受到一定的影响。Logistik für Ihre Rückmeldung Wir sind sehr besorgt, und wir kommunizieren regelmäßig und Logistik Vertrieb und andere damit zusammenhängende Fragen, weil Ihr Auftrag, um in der 25. Mai und 27. Mai, um die Übermittlung durchzuführen, am 30. Mai zu unterzeichnen Ware aufgrund mit unseren Aktivitätszyklus zusammenfallen, so dass eine große Menge von Nachbestellungen in unterschiedlichem Maße, Taktgefühl Logistik und Vertrieb Bemühungen werden zu einem gewissen Grad beeinflusst werden.给您带来不便非常抱歉！Wir entschuldigen uns für die Unannehmlichkeiten!如果您在之后的活动中有任何的问题都可以及时和我们联系呦！Wenn Sie irgendwelche Fragen nach der Veranstaltung haben uns sofort in Verbindung treten Yo!感谢您的理解及支持！Vielen Dank für Ihr Verständnis und Ihre Unterstützung!",,
,,"稍微有点长了，自己拿去截了一节Ein wenig mehr, und sie haben ein einem Take geschnitten",2015-05-30 23:49:582015.05.30 23.49.58,,,
,,"很不错的衣服，是正品，快递很快，总之全五分。Sehr gute Kleidung, ist echt, Expressversand bald, kurz, voll Fünftel.",2015-05-30 22:38:152015.05.30 22.38.15,,,
,,好评。Lob.。.。.。.。.。.,2015-05-30 21:57:212015.05.30 21.57.21,,,
,,买大一码可惜了Leider Kauf Neulingcode,2015-05-30 21:25:302015.05.30 21.25.30,,,
,,"穿一天变形很严重，不管是不是正品这种质量就是砸彪马的牌子。Eines Tages tragen die Verformung ist sehr ernst, ob diese Qualität ist nicht echt hit Puma Marke.不推荐购买。Nicht empfehlenswert zu kaufen.",2015-05-30 21:07:232015.05.30 21.07.23,,,
,,"东西不错，好评！Etwas Gutes, Lob!",2015-05-30 20:32:072015.05.30 20.32.07,,,
,,"感觉有种地摊货的问道衣服，不知道是不是正品，快递没短信电话Fühlen Art verbreiten die Waren gestellte Kleidung, nicht wissen, ist nicht echt, zum Ausdruck bringen keine SMS-Telefon",2015-05-30 20:11:092015.05.30 20.11.09,,,
,,穿着舒服！Angenehm zu tragen!,2015-05-30 18:09:352015.05.30 18.09.35,,,
,,"穿着效果很不错材料摸上去也可以啊，以后T恤就认准puma了Die Wirkung von Verschleißmaterial fühlt sich sehr gut zu sein, ah, nach der T-Shirt auf einem puma suchen",2015-05-30 14:25:562015.05.30 14.25.56,,,
,,"产品大了，听说换货麻烦，要出来回运费。Große, hörten wir einen Ersatz Mühe, um der Fracht wieder heraus.喜欢这款式。Gefällt Ihnen dieses Design.",2015-05-30 13:23:442015.05.30 13.23.44,"亲，您好，针对您表述的问题需要和您解释一下，是否存在一些误解在其中，我们店铺的确是不优先推荐换货流程，因为换货周期偏长、换货库存不确定的因素，故我们一般都是推荐客人退货重拍，又能及时退货退款又能第一时间收到合适的商品哦，如果还有任何问题可以及时和我们沟通哦，感谢您对PUMA的支持！Pro, Hallo, für Ihre Präsentation von Themen, die Ihnen zu erklären, ob es sich um ein Missverständnis, in dem unser Geschäft ist nicht wirklich eine Priorität empfohlene Austauschprozess, weil der Austauschzyklus ziemlich lang, Ersatzbestands Unsicherheit, so Generell empfehlen wir die Gäste zurück Remake, sondern auch rechtzeitig Erstattungen, sondern auch das erste Mal, erhaltene Ware oh richtig, wenn es irgendein Problem kann rechtzeitig erfolgen und wir kommunizieren Oh, ich danke Ihnen für Ihre Unterstützung der PUMA!",,
,,领口有点小Ausschnitt ein wenig,2015-05-30 12:52:052015.05.30 00.52.05,,,
,,好Okay,2015-05-30 11:57:582015.05.30 11.57.58,,,
,,感觉还行吧Gefühl in Ordnung,2015-05-30 11:31:202015.05.30 11.31.20,,,
,,"值得信赖，快递给力Vertrauenswürdig, zum Ausdruck bringen, um die Kraft",2015-05-30 10:39:002015.05.30 10.39.00,,,
,,好Okay,2015-05-30 10:38:092015.05.30 10.38.09,,,
,,一般般Wie ein General,2015-05-30 09:55:152015.05.30 09.55.15,,,
,,质量不错Gute Qualität,2015-05-30 09:49:252015.05.30 09.49.25,,,
,,质量很好Gute Qualität,2015-05-30 09:49:072015.05.30 09.49.07,,,
,,"不错，穿在身上很舒服！Ja, der Körper ist sehr angenehm zu tragen!就是有点肥大了些！Das ist ein wenig Fett zu groß!",2015-05-30 08:49:392015.05.30 08.49.39,,,
,,"衣服收到了，很合身的，不错，好评Received Kleidung, sehr fit, gut, Lob",2015-05-30 05:56:352015.05.30 05.56.35,,,
,,喜欢Lieben,2015-05-30 05:07:362015.05.30 05.07.36,,,
,,"质量不错 就是太大了 怪自己没看准尺码 懒得换了Gute Qualität ist zu seltsam, dass er nicht die Mühe, die Größe verändern Sehenswürdigkeiten",2015-05-30 01:14:492015.05.30 01.14.49,,,
,,"质量不错 就是太大了 怪自己没看准尺码 懒得换了Gute Qualität ist zu seltsam, dass er nicht die Mühe, die Größe verändern Sehenswürdigkeiten",2015-05-30 01:14:492015.05.30 01.14.49,,,
,,"好评，衣服不错，穿着舒服。Gut, gute Kleidung, das Tragen komfortabel.",2015-05-29 23:16:002015.05.29 23.16.00,,,
,,"尺寸刚好，质量真品Größe einfach, die Qualität der Echt",2015-05-29 22:17:572015.05.29 22.17.57,,,
,,好评Günstige Kommentar,2015-05-29 22:11:022015.05.29 22.11.02,,,
,,"衣服是正品，质得购买Kleider sind authentisch, wurde später Qualität",2015-05-29 21:57:412015.05.29 21.57.41,,,
,,很好Gut,2015-05-29 21:00:102015.05.29 21.00.10,,,
,,正品好货满分Genuine guten Sachen aus,2015-05-29 20:57:292015.05.29 20.57.29,,,
,,质感差了点。Texture schlechte Punkte.,2015-05-29 20:30:402015.05.29 20.30.40,,,
,,衣服偏大！Kleidung zu groß!是正品！Es ist authentisch!大了一码不高兴退了！Ein großes Yard verärgert zurück!,2015-05-29 19:56:452015.05.29 19.56.45,,,
,,"很好，很合身Sehr gut, sehr fit",2015-05-29 19:56:242015.05.29 19.56.24,,,
,,一般，太薄Im Allgemeinen zu dünn,2015-05-29 19:52:122015.05.29 19.52.12,,,
,,"给男票买的，质量挺好的，穿着很帅气。Male Ticket zu kaufen, die Qualität ist sehr gut, das Tragen eines sehr gut aus.赞\(≧▽≦)/Wie \ (≧ ▽ ≦) /",2015-05-29 19:04:232015.05.29 19.04.23,,,
,,"不是很满意其实Nicht sehr zufrieden mit der Tatsache,",2015-05-29 15:32:092015.05.29 15.32.09,,,
,,"还行吧，老公说穿着挺舒服的Okay, sagte, ihr Mann zu tragen sehr komfortabel",2015-05-29 15:19:512015.05.29 15.19.51,,,
,,喜欢Lieben,2015-05-29 15:09:372015.05.29 15.09.37,,,
,,"质量不错，希望以后打折促销活动多多。Gute Qualität, hoffen viele Rabattaktionen.",2015-05-29 15:01:052015.05.29 15.01.05,,,
,,不错。Ja.穿上正好。Setzen Sie auf genau richtig.非常喜欢Sehr viel,2015-05-29 14:53:182015.05.29 14.53.18,,,
,,买大了！Kaufen Sie groß!可以的好评。Sie können zu loben.,2015-05-29 13:49:002015.05.29 13.49.00,,,
,,挺好的Sehr gut,2015-05-29 13:04:162015.05.29 13.04.16,,,
,,不错Recht,2015-05-29 12:23:132015.05.29 12.23.13,,,
,,超级满意Super zufrieden,2015-05-29 12:18:352015.05.29 12.18.35,,,
,,不错Recht,2015-05-29 11:50:052015.05.29 11.50.05,,,
,//img.alicdn.com/bao/uploaded/i1/107070101624153008/TB21MKHcVXXXXaVXXXXXXXXXXXX_!!2230650707-0-rate.jpg//img.alicdn.com/bao/uploaded/i1/107070101624153008/TB21MKHcVXXXXaVXXXXXXXXXXXX_!!2230650707-0-rate.jpg,"还行，就是不见生产日期的标签。Okay, nicht produziert Label jetzt gesehen.",2015-05-29 11:11:262015.05.29 11.11.26,,,
,,"质量不错，就是太大了。Gute Qualität, ist zu groß.好评吧Loben",2015-05-29 09:15:452015.05.29 09.15.45,,,
,,质量超好Super gute Qualität,2015-05-29 08:57:132015.05.29 08.57.13,,,
,,一如既往的好Immer gut,2015-05-29 08:40:522015.05.29 08.40.52,,,
,,很好。Sehr gut.,2015-05-29 08:13:212015.05.29 08.13.21,,,
,,"衣服质量很好，老板推荐的尺码刚好，下次还会光顾的，好评好评好评Kleidung von guter Qualität, der Chef nur die empfohlene Größe, die nächste wird bevormunden, Lob Lob Lob",2015-05-29 05:37:072015.05.29 05.37.07,,,
,,"物流真是超给力哦，衣服质量不错，穿着很舒服，是正品，加油Logistics wirklich super zu zwingen, Oh, gute Qualität Kleidung, das Tragen eines sehr komfortabel, ist echt, Betankungs",2015-05-28 23:56:562015.05.28 23.56.56,,,
,,"洗后领口有些变形，码子大Gewaschen Kragen einige Verformung, ganz andere große",2015-05-28 22:57:372015.05.28 22.57.37,,,
,,挺好的。Sehr gut.,2015-05-28 22:08:042015.05.28 22.08.04,,,
,,"衣服有点大，比平时穿的码子大一号的感觉Kleidung ein wenig groß, größere Größe als übliche Abnutzung ganz anderes Gefühl",2015-05-28 22:08:002015.05.28 22.08.00,,,
,,"质量还可以，穿上略大了点，发货和物流很快。Qualität kann auch auf etwas größer Punkt, Versand und Logistik schnell gestellt werden.",2015-05-28 21:46:492015.05.28 21.46.49,,,
,,"买了两款小码的，一件刚好，一件有点大，不过质量不错！Ich kaufte zwei kleine Höfe, nur ein, ein wenig groß, aber gute Qualität!很好Gut",2015-05-28 21:28:022015.05.28 21.28.02,,,
,,"性价比不太高啊，就是个黑色纯棉背心，没什么型Die Kosten sind nicht zu hoch, ah, ist eine schwarze Baumwollweste, kein Typ",2015-05-28 21:25:522015.05.28 21.25.52,,,
,,"给老爸买的衣服有点小胖，又懒得换，回头找地方修一下，衣服质量一如既往的好！Dem Vater, um Kleidung zu kaufen ein wenig pummelig, aber zu faul, um zu ändern, dann auf den Ort, um es zu reparieren gehen, wie immer, gute Qualität Kleidung!",2015-05-28 20:23:322015.05.28 20.23.32,,,
,,"我本人一直很喜欢彪马这个品牌！Ich persönlich habe immer diese Marke Puma gefallen!但是每次都是在实体店买的.这是第一次在网上买我喜欢的产品！Aber jedes Mal in den Laden zu kaufen. Dies ist der erste in der Reihe zu meinen Lieblings-Produkte zu kaufen!因为实在是没有时间去实体店看衣服！Denn es ist nicht die Zeit, um in den Laden gehen, um die Kleidung zu sehen!对这次网购很满意！Auf dem Online-Shopping ist sehr zufrieden!码数合适！Codenummer angebracht!物流业也很快！Logistik ist auch schnell!服务态度好！Gute Service-Haltung!",2015-05-28 17:50:082015.05.28 17.50.08,,,
"242717157344|2015-05-28 16:45:14|真是一般|0||您好，首先给您带来不便非常抱歉，针对您的反馈意见我们也十分的重视，但是需要和您进行下解释，我们PUMA官方店是天猫平台唯一一家旗舰店，也是唯一一家店铺直营店，针对商品是否是正品的问题上您绝对可以放心！242717157344 | 2015.05.28 16: 45: 14 | Wirklich Allgemein | 0 || Hallo, sehr leid für die Unannehmlichkeiten, für Ihr Feedback und wir sehr ernst, aber man muss unten erklärt werden müssen, Wir Puma offiziellen Shop Lynx-Plattform ist die einzige, Flagship-Store, ist es der einzige Shop Verkaufsstellen, sei es für die Ware auf die echten Probleme, können Sie sicher sein!如果您在购物中发现商品存在瑕疵或质量问题时，您可以直接联系我们在线工作人员！Wenn Sie Fehler oder Qualität der Ware erkennen in Shopping, können Sie uns online Personal!我们会第一时间予以沟通及反馈！Wir werden das erste Mal, Kommunikation und Feedback zu sein!我们十分乐意帮您处理！Wir freuen uns, Ihnen helfen, zu beschäftigen!",,"质量一般，不值这个钱，不是正品。Qualität in der Regel nicht das Geld wert, nicht echt.偏小一号买的，合身。Kaufen Sie kleine auf der 1., passen.",2015-05-28 16:41:192015.05.28 16.41.19,,物流快Logistik schnell,
,,"衣服很好，就是有点偏大了！Gute Kleidung, ist ein bisschen zu groß ist!",2015-05-28 16:25:062015.05.28 16.25.06,,,
,,"尺寸很合适，穿着很舒适，不愧是旗舰店的货，聚划算买的，性价比很高。Größe ist sehr geeignet, das Tragen eines sehr bequem, in der Tat das Flagship-Store von Waren, zusammen kostengünstige, zu kaufen, die hohen Kosten.",2015-05-28 15:32:502015.05.28 15.32.50,,,
,,"非常满意，会再来的，支持！Sehr zufrieden, wir kommen wieder, für Ihre Unterstützung!！!！!",2015-05-28 15:25:222015.05.28 15.25.22,,,
,,好！Okay!,2015-05-28 15:22:252015.05.28 15.22.25,,,
,,好！Okay!,2015-05-28 15:22:252015.05.28 15.22.25,,,
,,还好Glücklicherweise,2015-05-28 14:54:362015.05.28 14.54.36,,,
,,"衣服收到了，质量很好，和合身。Received Kleidung, gute Qualität und Passform.做工精细。Feinarbeit.颜色很正。Farbe ist sehr positiv.",2015-05-28 14:13:532015.05.28 14.13.53,,,
,,好Okay,2015-05-28 13:59:372015.05.28 13.59.37,,,
242671755865|2015-05-28 22:45:20|发的XL有点大|0||242671755865 | 2015.05.28 22: 45: 20 | Haar XL ein wenig groß | 0 ||,,,2015-05-28 13:37:452015.05.28 13.37.45,,,
,,"喜欢，大小也正合适Ja, das ist auch Größe genau richtig",2015-05-28 12:26:512015.05.28 00.26.51,,,
,,"物流很快，衣服不错Logistics bald, gute Kleidung",2015-05-28 12:23:292015.05.28 12.23.29,,,
,,"挺好，就是稍微大了点，算了就这样穿穿吧Sehr gut, ist etwas größer Punkt, so Chuan Chuan vergessen",2015-05-28 11:47:102015.05.28 11.47.10,,,
,,很好！Sehr gut!满意Zufriedenheit,2015-05-28 11:40:092015.05.28 11.40.09,,,
,,很棒！Großartig!物流快质量好！Gute Qualität Logistik schnell!赞！Gefällt mir!,2015-05-28 10:54:232015.05.28 10.54.23,,,
,,"衣服挺好，就是偏大了Kleidung sehr gut, ist ein zu großer",2015-05-28 08:23:052015.05.28 08.23.05,,,
,,"我爸很喜欢 适合中年穿 哈哈Mein Vater liebte es, für mittleren Alters tragen haha",2015-05-28 07:56:502015.05.28 07.56.50,,,
,,"身高1米83，体重63公斤，M码正好！1 Meter hoch und 83, mit einem Gewicht von 63 kg, M-Code genau!这种款型不修身。Solche Modelle sind nicht Selbst-Anbau.但是面料舒服，无瑕疵，挺满意的！Aber der Stoff komfortabel, makellos, sehr zufrieden!客服真让人无语。Service wirklich Menschen sprachlos.。.零交流！Nullaustausch!",2015-05-27 22:48:452015.05.27 22.48.45,"您好，给您带来诸多不便非常抱歉，针对您反馈的问题我们也做了一个核实，当时的您在5月26日09：44分咨询我们相关的问题，由于当时处于非工作时间段内，所以没有及时回应您的问题，到了中午的时候由于活动咨询期间咨询量十分集中，加上中午就餐时间故延误到了您的回复时间，给您带来不便非常抱歉！Hallo, eine Menge Unannehmlichkeiten sehr leid für Ihre Rückmeldung Probleme bringen Ihnen haben wir eine Überprüfung durchgeführt, wenn Sie unsere damit verbundenen Fragen um 09:44 Uhr am Mai 26 Minuten zu konsultieren, weil zu dieser Zeit in einem Nicht-Arbeitszeit , so gibt es keine Zeit, um auf Ihre Fragen während der Veranstaltung zu reagieren, zu Mittag aufgrund der sehr konzentriert Beratung beratend sowie Mittagsmahl Zeit verzögert, um Ihre Reaktionszeit, sehr leid für die Unannehmlichkeiten!",,
,,"很好，是正品，大小合适，非常满意Nun, es ist echt, die richtige Größe, sehr zufrieden",2015-05-27 20:47:482015.05.27 20.47.48,,,
,,"发货速度挺快的！Liefergeschwindigkeit sehr schnell!穿着效果也还不错，唯一值得改进的 就是包装不怎么太上档次！Der Effekt des Tragens ist auch gut, ist das einzige, was auf der Ebene der Verpackung weniger zu verbessern!上身效果很不错！Oberkörper ist sehr gut!值得购买!Kauf wert!",2015-05-27 20:41:162015.05.27 20.41.16,,,
,,"码偏大，听了客服的建议，买了小一码，合适Zu groß ist, hörte sich Anregungen von Kunden, kaufen Sie einen kleinen Hof, fit",2015-05-27 20:38:492015.05.27 20.38.49,,,
,,"衣服质量不错，就是客服有些冷淡，无论旺旺还是电话客服对待客户都有些爱理不理的态度。Gute Qualität Kleidung, ist der Kundenservice einige kalt, auch telefonische Kundenbetreuung Willst du behandeln Kunden haben einige gleichgültige Haltung.不过习惯了好评，加上收到衣服心情好，就还是全五分。Aber er daran gewöhnt, zu loben, und erhielten Kleidung wohl fühlen, oder voll Fünftel.",2015-05-27 19:47:192015.05.27 19.47.19,"您好，看到您的评价我们很伤心呦，当然我们也十分的重视，查看了当时的聊天记录，主要集中是在2个问题，一点是您在5月25日前10点前咨询的问题没有人回复，因为当时不在我们的运营时间内；其次，您咨询想在已付款的订单中再增加一件商品想法，工作人员并非不为您服务哦，的确无法操作而已，我们也会不断提升我们的服务质量，努力让您更为的满意的哈，感谢您对PUMA的支持及关注！Hallo, sehen deine Bewertung Yo wir sehr traurig, natürlich, wir sind sehr ernst, sehen Sie sich die Zeit, Chats, vor allem in zwei Ausgaben, ist eine Sache, Sie sind in um 10:00 Uhr am 25. Mai, bevor das Problem nicht konsultiert wird Menschen reagieren, weil wir nicht innerhalb der Frist Betriebs, zweitens, um die Zahlungsaufträge erhöht erneut die Idee einer Ware konsultieren möchten, das Personal nicht dienen zu können, oh, nicht in Betrieb ist, werden wir auch weiterhin zur Verbesserung unserer Service-Qualität, und sich bemühen, mehr von Ihrer Zufriedenheit zu machen, ha, ich danke Ihnen für Ihre Unterstützung und Aufmerksamkeit PUMA!",,
,,"啊啊啊啊啊哈哈哈哈哈好好好好好啦啦啦啦啦！Ah ah ah ah ah ha ha ha ha ha gut gut in Ordnung, la la la la!！!！!",2015-05-27 19:39:262015.05.27 19.39.26,,,
,"//img.alicdn.com/bao/uploaded/i3/162610101381518753/TB2WKl_cVXXXXXMXXXXXXXXXXXX_!!1134136261-0-rate.jpg,//img.alicdn.com/bao/uploaded/i2/162610101381523177/TB2ezBIcVXXXXbYXpXXXXXXXXXX_!!1134136261-0-rate.jpg,//img.alicdn.com/bao/uploaded/i1/162610101381530112/TB2dF0ScVXXXXawXpXXXXXXXXXX_!!1134136261-0-rate.jpg,//img.alicdn.com/bao/uploaded/i3/162610101381539074/TB2cXxKcVXXXXciXpXXXXXXXXXX_!!1134136261-0-rate.jpg//img.alicdn.com/bao/uploaded/i3/162610101381518753/TB2WKl_cVXXXXXMXXXXXXXXXXXX_!!1134136261-0-rate.jpg,//img.alicdn.com/bao/uploaded/i2/162610101381523177/TB2ezBIcVXXXXbYXpXXXXXXXXXX_!!1134136261-0- rate.jpg, // img.alicdn.com/bao/uploaded/i1/162610101381530112/TB2dF0ScVXXXXawXpXXXXXXXXXX_!!1134136261-0-rate.jpg,//img.alicdn.com/bao/uploaded/i3/162610101381539074/TB2cXxKcVXXXXciXpXXXXXXXXXX_ !! 1134136261-0-rate.jpg",衣服满意度70做工和实体店有点偏差一分钱一分货 质量过得去 有点挂羊头卖狗肉的感觉 服务态度很好  。Satisfaction 70 Arbeitskleidung und das Geschäft ein wenig Abweichung Lohn für anständige Qualität ein wenig Trickserei Gefühl guter Service Haltung.,2015-05-27 19:31:472015.05.27 19.31.47,,,
,,"不错，蛮舒服Ja, sehr komfortabel",2015-05-27 18:55:102015.05.27 18.55.10,,,
,,很好Gut,2015-05-27 18:43:392015.05.27 18.43.39,,,
,,"不错，穿着很舒服！Ja, sehr angenehm zu tragen!",2015-05-27 17:10:492015.05.27 17.10.49,,,
,,"老公说不错Mein Mann sagte, es war großartig",2015-05-27 16:00:192015.05.27 16.00.19,,,
,//img.alicdn.com/bao/uploaded/i2/196380101338452996/TB2sW0NcVXXXXXQXpXXXXXXXXXX_!!899089638-0-rate.jpg//img.alicdn.com/bao/uploaded/i2/196380101338452996/TB2sW0NcVXXXXXQXpXXXXXXXXXX_!!899089638-0-rate.jpg,"有白色的毛毛不知是什么Mit weißem Fell, weiß ich nicht, was",2015-05-27 14:23:482015.05.27 14.23.48,,,
,,可以可以！Can Can!,2015-05-27 13:22:522015.05.27 13.22.52,,,
,,"很好，快递也快！Na ja, ist Expressversand auch schnell!",2015-05-27 13:21:532015.05.27 13.21.53,,,
,,码数偏大Code-Nummer zu groß,2015-05-27 12:57:262015.05.27 12.57.26,,,
,,"比想象中的薄，还以为背后的那logo是针缝上去的，结果是粘上去的！Dünner als erwartet, sondern auch, dass der Mann hinter dem Logo wurde genäht, ist das Ergebnis Nianshang Qu!",2015-05-27 12:57:102015.05.27 00.57.10,,,
,,"发货速度很快，衣服质量也很好～Schnelle Lieferung, gute Qualität Kleidung ~",2015-05-27 12:48:212015.05.27 00.48.21,,,
,,"完全就是假货，评价都是刷的吧，衣服太假了。Ist völlig falsch, waren Auswertungen Pinsel bar, Kleidung zu fälschen.129？29还差不多，衣服太假太假了。129? 29 ist ebenfalls ähnlich, Kleidung zu fälschen zu fälschen.完全就是骗人。Es ist völlig irreführend.",2015-05-27 12:20:342015.05.27 00.20.34,,,
,,"衣服不错，就是我选错号了，来回折腾麻烦，就这样了。Gute Kleidung, die ich wählte die falsche Nummer und warf hin und her Mühe, es ist so.",2015-05-27 11:38:562015.05.27 11.38.56,,,
,,衣服很合身质量挺好的   好评Kleidung passt sehr gute Qualität des Lobes,2015-05-27 11:09:152015.05.27 11.09.15,,,
,,"顺丰太快了！SF zu schnell!质量不错，就是号码偏大Gute Qualität, ist diese Zahl zu groß ist",2015-05-27 10:54:162015.05.27 10.54.16,,,
