appendComment,pics,rateContent,rateDate,reply,serviceRateContent,userInfo
,"//img.alicdn.com/bao/uploaded/i1/18163081689573071/TB2od9iXFXXXXbpXpXXXXXXXXXX_!!663478163-0-rate.jpg,//img.alicdn.com/bao/uploaded/i1/18163096021844326/TB2qhbFXFXXXXbtXpXXXXXXXXXX_!!663478163-0-rate.jpg//img.alicdn.com/bao/uploaded/i1/18163081689573071/TB2od9iXFXXXXbpXpXXXXXXXXXX_!!663478163-0-rate.jpg,//img.alicdn.com/bao/uploaded/i1/18163096021844326/TB2qhbFXFXXXXbtXpXXXXXXXXXX_!!663478163-0- rate.jpg",男友穿着好瘦 质量还不错 穿着舒服Boyfriend tragen gute Qualität ist auch gut und angenehm zu tragen dünne,2015-05-20 18:14:132015.05.20 18.14.13,,,
,,正品！Genuine!包装好！Lunch!旗舰店值得信赖！Flagship-Store des Vertrauens würdig!,2015-05-20 14:57:342015.05.20 14.57.34,,,
,,好Okay,2015-05-20 14:42:512015.05.20 14.42.51,,,
,,"试穿过了，质量没的说，穿起来很舒服！Anprobiert, und die Qualität hat nicht gesagt, sehr angenehm zu tragen!",2015-05-20 13:25:142015.05.20 13.25.14,,,
,,"买给孩子的...送学校去了，不知道效果如何。Gekauft Kinder zur Schule zu schicken ... Ich weiß nicht, wie effektiv.",2015-05-20 13:23:572015.05.20 13.23.57,,,
,,不错~物流很快！Gut ~ Logistik in Kürze!,2015-05-20 11:54:322015.05.20 11.54.32,,,
,,不错Recht,2015-05-20 09:54:162015.05.20 09.54.16,,,
,,"衣服很棒，正品，下次还会再来Kleidung gut, echt, beim nächsten Mal wieder kommen",2015-05-20 09:32:272015.05.20 09.32.27,,,
,,"挺好，本来感觉紧，不过还是接受了，挺好的吸汗Sehr gut, ich hatte das Gefühl, eng, aber immer noch akzeptiert, sehr gute Schweiß",2015-05-20 09:23:222015.05.20 09.23.22,,,
,,"买的正好合适，快递也很给力。Kaufen Sie genau das Richtige, zum Ausdruck bringen auch die Kraft.有发票，是正品！Rechnungen, ist authentisch!",2015-05-20 09:12:352015.05.20 09.12.35,,,
,,正品就是正品，一天到货牛Genuine echt Anreisetag Kuh,2015-05-20 07:42:022015.05.20 07.42.02,,,
,,好评Günstige Kommentar,2015-05-20 07:07:322015.05.20 07.07.32,,,
,,很好Gut,2015-05-19 20:17:112015.05.19 20.17.11,,,
,,帅........................Shuai ........................,2015-05-19 17:40:432015.05.19 17.40.43,,,
,,"儿子喜欢，正品超赞给5分Sohn mag, authentische genial zu 5 Punkte",2015-05-19 16:55:472015.05.19 16.55.47,,,
,,质量好Gute Qualität,2015-05-19 16:27:312015.05.19 16.27.31,,,
,,"非常合身，物流非常快Sehr fit, sehr schnelle Logistik",2015-05-19 16:25:452015.05.19 16.25.45,,,
,,"包装的不错，就是衣服有点长了Packaged gut, das ist ein bisschen zu lang Kleider",2015-05-19 13:52:122015.05.19 13.52.12,,,
,,"很棒，贴身感强，速干吸汗，健身首选Große, persönliche Gefühl der starken, schnell trocknend Schweiß Fitness Bevorzugte",2015-05-19 11:55:192015.05.19 11.55.19,,,
,,"衣服很好,是正品Gute Kleidung, ist echt",2015-05-19 08:28:342015.05.19 08.28.34,,,
,,感觉很棒Fühlt sich großartig,2015-05-19 07:21:492015.05.19 07.21.49,,,
,,"好评，还有发票Lob, sowie Rechnung",2015-05-19 00:41:102015.05.19 00.41.10,,,
,,真心不错！Wirklich gut!谢谢！DANKE!还会来的。Es wird kommen.,2015-05-19 00:15:032015.05.19 00.15.03,,,
,,"感觉非常棒 找到了以前想健身的感觉Es fühlt sich großartig, ein Gefühl der Fitness bisher angenommen zu finden",2015-05-18 23:16:002015.05.18 23.16.00,,,
,,很好Gut,2015-05-18 22:20:282015.05.18 22.20.28,,,
,,别的都还好...就是太长了点...要卷一卷...Andere sind in Ordnung ... das ist zu Kleinigkeit großzügig ... um Roll Roll ...,2015-05-18 21:34:152015.05.18 21.34.15,,,
,,"东西很不错，就是不知道健身时候穿吸汗效果如何？Etwas sehr gut, nur nicht wissen, wie effektiv Fitness Schweiß tragen?物流速度也快，谢谢Logistics Geschwindigkeit ist schnell, danke",2015-05-18 20:02:302015.05.18 20.02.30,,,
,,很合身！Sehr fit!不错！Ja!,2015-05-18 18:10:542015.05.18 18.10.54,,,
,,衣服拿到了 只是跟专卖店的还是有差别的。Kleidung bekam gerade jetzt zu speichern gibt es noch Unterschiede.明显质量没那么好   贵了 感觉不值这个价Offensichtlich teuer Qualität ist nicht so gutes Gefühl nicht den Preis wert,2015-05-18 16:36:312015.05.18 16.36.31,,,
,,"不错，很贴身Ja, ganz in der Nähe",2015-05-18 16:12:302015.05.18 16.12.30,,,
,,非常好Das ist gut,2015-05-18 16:07:172015.05.18 16.07.17,,,
,,衣服很好啊Kleidung sehr gut ah,2015-05-18 15:04:232015.05.18 15.04.23,,,
,,衣服有点儿偏长 还算修身Kleidung eine Länge etwas länger ziemlich schlank,2015-05-18 14:33:312015.05.18 14.33.31,,,
,,"发货速度快递 物流快 衣服穿上很满意 大小刚好Schnelle Lieferung Geschwindigkeit Express-Logistik mit genau die richtige Größe, um Kleidung zu tragen sehr zufrieden",2015-05-18 13:17:332015.05.18 13.17.33,,,
,,"感觉胸部略紧，本人175，70公斤，买L码，胸背稍紧，但下端拉直可到裤袋中部。Brust fühlt sich ein wenig eng, I 175,70 kg, L-Code kaufen, Brust und Rücken ein wenig eng, aber das untere Ende der Mitte des Richt kann, um seine Hüfte.",2015-05-18 12:42:122015.05.18 00.42.12,,,
,,正规品牌就是给力！Regelmäßige Marke ist zu zwingen!,2015-05-18 12:36:372015.05.18 12.36.37,,,
,,"应该是正品，穿了几次，还不错Sollte echt sein, tragen ein paar Mal, nicht schlecht",2015-05-18 12:15:522015.05.18 12.15.52,,,
,,"可以，有点长Ja, ein bisschen zu lang",2015-05-18 11:05:092015.05.18 11.05.09,,,
,,"衣衣很正很喜欢下次会继续光顾的~Yi Yi ist sehr positiv ist, wird die nächste, wie auch weiterhin die bevormunden ~",2015-05-18 10:49:592015.05.18 10.49.59,,,
,"//img.alicdn.com/bao/uploaded/i3/12280080763301767/TB2ADt9cVXXXXcsXXXXXXXXXXXX_!!391702280-0-rate.jpg,//img.alicdn.com/bao/uploaded/i2/12280081209592699/TB2vw49cVXXXXcNXXXXXXXXXXXX_!!391702280-0-rate.jpg//img.alicdn.com/bao/uploaded/i3/12280080763301767/TB2ADt9cVXXXXcsXXXXXXXXXXXX_!!391702280-0-rate.jpg,//img.alicdn.com/bao/uploaded/i2/12280081209592699/TB2vw49cVXXXXcNXXXXXXXXXXXX_!!391702280-0- rate.jpg",还可以吧Können Sie auch rechts,2015-05-18 07:53:262015.05.18 07.53.26,,,
,,快递很给力  包装很精致  还有发票  太满意了Express ist zu zwingen die Verpackung ist sehr fein es auch zufrieden Rechnung,2015-05-18 05:25:232015.05.18 05.25.23,,,
,,好Okay,2015-05-18 00:43:022015.05.18 00.43.02,,,
,,还行Okay,2015-05-17 22:00:292015.05.17 22.00.29,,,
,,"看到评论，确实衣服好小，要买大一个号才行，哎Siehe Kommentare, gute Kleidung wirklich klein, kaufen eine große Anzahl von den Job, hey",2015-05-17 21:55:072015.05.17 21.55.07,,,
,,不错。Ja.有点紧Ein wenig eng,2015-05-17 21:39:422015.05.17 21.39.42,,,
,,"太棒了，颜色漂亮。Fantastische, schöne Farben.",2015-05-17 19:47:252015.05.17 19.47.25,,,
,,"感觉不错，不过有点紧，可能穿穿就好了~Ich fühle mich gut, aber ein wenig eng, kann Chuan Chuan wie a ~",2015-05-17 18:40:222015.05.17 18.40.22,,,
,,不错Recht,2015-05-17 16:42:012015.05.17 16.42.01,,不错Recht,
,,"服务耐心，物品很正，就是买大了，送我爸了，建议以后买此类衣服不要只参考体重身高，重点在腰围胸围上。Patient Dienstleistungen, Waren ist sehr positiv, ist zu groß, schickte ich meinem Dad zu kaufen, und kaufen später empfohlen, solche Kleidung nicht nur Referenzgewicht für Höhe, mit Schwerpunkt auf der Taille Fehlschlag.",2015-05-17 16:36:112015.05.17 16.36.11,,,
,,发货很快！Baldiger Versand!挺棒的。Ganz-Stick.,2015-05-17 15:57:342015.05.17 15.57.34,,,
,,"身高175，体重79，先买了件L码，有点紧，再买了件XL就刚刚好Höhe 175, Gewicht 79, eine L-Code gekauft erste, ein wenig eng, kaufen ein Stück XL gerade recht",2015-05-17 12:27:522015.05.17 12.27.52,,,
,,"身高175，体重79，穿L码能挤进去，肚腩立刻勒不见，但是有点太紧了，再买一件XL蓝色Höhe 175, Gewicht 79, trägt ein L-Code kann in quetschen, aber nicht Le Bauch sofort, aber ein wenig zu eng, kaufen ein XL blau",2015-05-17 12:24:542015.05.17 00.24.54,,,
,,很多次买了Viele Male zu kaufen,2015-05-17 12:20:572015.05.17 00.20.57,,,
,,"旗舰店果然不错，客服态度好，发货快物流快，东西也放心。Flagship-Store wirklich gut, guter Kundenservice Haltung, schnelle Lieferung Logistik schneller, die Dinge gewährleistet.PRO系列实在太长了，我188cm,77KG,XXL紧是紧了，全拉开能到腿根。PRO-Serie ist zu lang, und ich 188cm, 77kg ist, XXL eng eng, und alle können in den Schritt geöffnet werden.不过，皱着穿还是挺帅的，好好健身Allerdings ist Zhou Zhao Verschleiß sehr schön, gute Gesundheit",2015-05-17 12:16:142015.05.17 00.16.14,,,
,,非常好Das ist gut,2015-05-17 11:23:372015.05.17 11.23.37,,,
,,"包装很好，应该是正品Gute Verpackung, sollte echt sein",2015-05-17 09:47:522015.05.17 09.47.52,,,
,,"衣服質量不錯，快遞給力Kleidung, gute Qualität, Express-Lieferung an die Kraft",2015-05-17 08:03:322015.05.17 08.03.32,,,
,,感觉不错Gut fühlen,2015-05-17 01:19:362015.05.17 01.19.36,,,
,,好Okay,2015-05-16 21:46:272015.05.16 21.46.27,,,
,,好Okay,2015-05-16 21:46:272015.05.16 21.46.27,,,
,,"送货迅速，昨天下单今天到，很快！Schnelle Lieferung, Bestellungen gestern bis heute, und zwar bald!质量与描述相符，有物流跟踪。Qualität mit der Beschreibung gibt es Logistik Tracking.,.",2015-05-16 20:19:562015.05.16 20.19.56,,,
,,长太多了Lange zu viel,2015-05-16 18:34:502015.05.16 18.34.50,,,
"241784894389|2015-05-16 15:58:17|物流没得说！241784894389 | 2015.05.16 15: 58: 17 | Logistik nicht zu sagen!太快了！Zu schnell!衣服至少现在看来不错，穿着也还可以，总体评价四星|0||Zumindest jetzt scheint es gute Kleidung, trug auch sein kann, Gesamtbewertung der Vier-Sterne | 0 ||",,,2015-05-16 15:57:072015.05.16 15.57.07,,,
,,从未体验过如此之快的速度。Ich habe nie eine so hohe Geschwindigkeit erlebt.质量也应该是有保证的。Qualität sollte auch gewährleistet werden.,2015-05-16 13:39:462015.05.16 13.39.46,,,
,,"身高177，体重140穿着刚刚好，非常好。Höhe 177, Gewicht 140, um nur gut, sehr gut zu tragen.",2015-05-16 12:36:112015.05.16 12.36.11,,,
,,好！Okay!！!！!服务态度好！Gute Service-Haltung!产品和描述的一样！Und Beschreibungen des gleichen Produkts!尺码大小合适！Größe die richtige Größe!,2015-05-16 11:28:152015.05.16 11.28.15,,,
,,不错Recht,2015-05-16 11:19:212015.05.16 11.19.21,,,
,"//img.alicdn.com/bao/uploaded/i4/17323080222822934/TB26HdDcVXXXXXZXXXXXXXXXXXX_!!767137323-0-rate.jpg,//img.alicdn.com/bao/uploaded/i2/17323080884406452/TB2xGtycVXXXXcvXXXXXXXXXXXX_!!767137323-0-rate.jpg,//img.alicdn.com/bao/uploaded/i1/17323080969036909/TB2exdxcVXXXXb8XXXXXXXXXXXX_!!767137323-0-rate.jpg//img.alicdn.com/bao/uploaded/i4/17323080222822934/TB26HdDcVXXXXXZXXXXXXXXXXXX_!!767137323-0-rate.jpg,//img.alicdn.com/bao/uploaded/i2/17323080884406452/TB2xGtycVXXXXcvXXXXXXXXXXXX_!!767137323-0- rate.jpg, // img.alicdn.com/bao/uploaded/i1/17323080969036909/TB2exdxcVXXXXb8XXXXXXXXXXXX_!!767137323-0-rate.jpg","没得说，版型OK 松紧OK 一切OK 运动首选，除了价格不OK 不过确实质量上没得说 NIKE还是有实力的，支持！Nicht zu sagen haben, die Version alles OK OK OK elastischen Sport der Wahl, zusätzlich zu dem Preis ist OK, aber wirklich nicht haben, um auf die Qualität oder Stärke der NIKE, Unterstützung zu sagen!顺丰更是没话说了，快SF ist keiner, und schnell",2015-05-16 10:44:532015.05.16 10.44.53,,,
,,"还好吧，很多人都有同款Okay, eine Menge Leute haben den gleichen Abschnitt",2015-05-16 08:45:522015.05.16 08.45.52,,,
,,衣服不错。Gute Kleidung.一分价钱一分货。Ein Sub-Artikeln.,2015-05-16 06:39:352015.05.16 06.39.35,,,
,,衣服不错。Gute Kleidung.一分价钱一分货。Ein Sub-Artikeln.,2015-05-16 06:39:352015.05.16 06.39.35,,,
"241717233782|2015-05-18 16:36:19|174cm 80KG 穿L码稍微有点小，肚子大了穿起就感觉很搞笑了|16||241717233782 | 2015.05.18 16: 36: 19 | 174cm 80KG Abnutzung L Code ein wenig zu klein, dicker Bauch trägt sich sehr lustig | 16 ||",,,2015-05-16 01:43:132015.05.16 01.43.13,,,
,,很清爽的衣服Sehr coole Klamotten,2015-05-16 01:16:562015.05.16 01.16.56,,,
,,"真心不错，穿上很舒服，一定会来买第二件的！Wirklich gut, sehr angenehm zu tragen, werden Sie kommen, um ein zweites Element zu kaufen!",2015-05-15 22:53:092015.05.15 22.53.09,,,
,,"不好意思，确认晚了，衣服给弟弟买的，很好，很喜欢。Spät sorry, bestätigt, um Kleidung, um seinen Bruder zu kaufen, gut, sehr viel.",2015-05-15 21:46:482015.05.15 21.46.48,,,
,,"速度很快，东西不错Schnell, etwas Gutes",2015-05-15 21:16:282015.05.15 21.16.28,,,
,,"很好，谢谢！Gut, danke!！!！!",2015-05-15 20:49:122015.05.15 20.49.12,,,
,,"昨天晚上收到了，儿子穿上合适。Gestern Abend erhielt ein Sohn angemessen zu tragen.发的顺风意外。Downwind unerwartete Haare.谢谢老板Danke, Chef",2015-05-15 15:19:022015.05.15 15.19.02,,,身高:175cmHöhe: 175cm
,,"非常好，老公很喜欢，健身就穿它了。Sehr gut, Mann gefiel, Fitness tragen.",2015-05-15 15:12:412015.05.15 15.12.41,,,
,,一如既往的优秀Wie immer ausgezeichnet,2015-05-15 13:57:132015.05.15 13.57.13,,,身高:181cmHöhe: 181cm
241665781165|2015-05-16 09:14:32|给同学他爸买的|0||241665781165 | 2015.05.16 09: 14: 32 | an die Schüler seines Vaters zu kaufen | 0 ||,,还不错Ziemlich gut,2015-05-15 13:35:262015.05.15 13.35.26,,,
,,"顺风相当给力，速度没的说，非常快！Wickeln Sie eine ganze Kraft, Geschwindigkeit hat nicht gesagt, sehr schnell!\n衣服上身很舒服，有点紧绷的感觉，要是再稍微宽松一点就更好了，唉，只能怪自己肚子有点大了。\ N Kleidung Oberkörper ist sehr komfortabel, ein wenig eng Gefühl, wenn auch ein wenig nachsichtiger besser, ach, nur sich selbst zu dicken Bauch schuld.总体来说是一次非常满意的购物。Insgesamt war es eine sehr befriedigende Einkaufen.",2015-05-15 13:23:572015.05.15 13.23.57,,赞Lob,身高:175cmHöhe: 175cm
,,"非常好，本人173，68KG   L号很合适，客服非常细心，谢谢Sehr gut, 173,68KG I L-Nummer ist sehr geeignet, sehr aufmerksamen Service, danke",2015-05-15 13:22:262015.05.15 13.22.26,,,
,,"还行吧，真挺紧的，物流速度绝对快Okay, wirklich sehr eng, ist die Logistik Geschwindigkeit auf jeden Fall schnell",2015-05-15 13:21:322015.05.15 13.21.32,,,
,,很棒Großartig,2015-05-15 10:56:132015.05.15 10.56.13,,,
,,"包装齐全又豪华。Verpackung komplett mit Luxus.。.东西很棒，码数也准。Etwas Großes, auch Lauflänge genau.。.棒Schläger",2015-05-15 10:30:592015.05.15 10.30.59,,,
,,"男朋友说质量一般欸Hey Freund sagte, die Qualität der allgemeinen",2015-05-15 07:53:592015.05.15 07.53.59,,,
,,面料很好Guter Stoff,2015-05-14 22:27:282015.05.14 22.27.28,,,
,,还挺好的Ziemlich gut,2015-05-14 21:52:122015.05.14 21.52.12,,,
,,好Okay,2015-05-14 17:08:562015.05.14 17.08.56,,,
,,东西很不错！Etwas sehr gut!号码正好！Anzahl passieren!感谢Dank,2015-05-14 16:30:042015.05.14 16.30.04,,,
,,"不知道会不会掉色？Ich weiß nicht, wird nicht verblassen?",2015-05-14 15:45:322015.05.14 15.45.32,,,
,,"物流超快，说好三天，最后一天就到了。Logistik schnell, sagen gut für drei Tage, der letzte Tag, um zu gehen.宝贝不错穿的很合适。Baby-gute Verschleiß sehr angemessen.",2015-05-14 12:54:162015.05.14 00.54.16,,,
,,物流不给送到学校还让我自己去取 走了好远 衣服不错 出汗后很凉快Logistik nicht in die Schule zu geben lasse mich auch sehr weit sehr cool entfernt die Kleidung gehen nach einem guten Schweiß,2015-05-14 07:51:122015.05.14 07.51.12,,,
,,EMS真坑啊！EMS wirklich Grube ah!,2015-05-14 07:38:492015.05.14 07.38.49,,,
,,他很喜欢。Er liebte es.满分Out,2015-05-14 03:27:342015.05.14 03.27.34,,,
,,"紧身衣买了大一码～还不错。Tights kaufte ein Freshman Meter - nicht schlecht.。.穿着刚合适～～不禁不松。~ ~ Ich kann nicht anders, nicht nur das Recht, tragen locker.。.本人175，73公斤。I 175,73 kg.",2015-05-14 00:37:382015.05.14 00.37.38,,,
,,还不错Ziemlich gut,2015-05-13 23:28:362015.05.13 23.28.36,,,
,,"很合身，这已经是买的第二件了。Sehr fit, das ist das zweite Mitglied der Kauf.很喜欢，物流业很快，昨天就收到了Ich mochte es, die Logistik-Branche bald, erhielt gestern ein",2015-05-13 23:16:212015.05.13 23.16.21,,,身高:176cmHöhe: 176cm
,,"衣服不错，5分。Gute Kleidung, 5 Punkte.",2015-05-13 22:03:442015.05.13 22.03.44,,,
,,"包装很讲究，很喜欢已经穿上了Verpackung sehr besondere, sehr viel wurde angelegt",2015-05-13 19:55:372015.05.13 19.55.37,,,
,,好快就到，确实紧身Nun bald richtig eng,2015-05-13 16:51:592015.05.13 16.51.59,,,
,,"送弟弟的，穿上很合适，弟弟身高一米七六，体重118斤，码数刚刚好，赞一个Er schickte seinen Bruder, auf einem sehr fit gesetzt, mein Bruder, sechs, sieben Meter hoch, mit einem Gewicht von 118 £, Codenummer genau richtig, wie dieser",2015-05-13 15:13:132015.05.13 15.13.13,,,
,,"挺合适，男朋友很喜欢！Sehr fit, sehr angetan von ihrem Freund!",2015-05-13 13:20:272015.05.13 13.20.27,,,
,,一如既往的好Immer gut,2015-05-13 13:10:052015.05.13 13.10.05,,,
,,2xl正好2XL gerade,2015-05-13 11:20:552015.05.13 11.20.55,,,身高:180cmHöhe: 180cm
,,"很不错，快递很快Sehr gut, Kurier bald",2015-05-13 10:26:512015.05.13 10.26.51,,,
,,"快递给力！Courier, um die Kraft!不到两天就到了，东西也很好，全五分！Weniger als zwei Tage zu kommen, die Dinge sind sehr gut, voll Fünftel!！!",2015-05-13 10:12:222015.05.13 10.12.22,,,
,,好Okay,2015-05-13 09:34:362015.05.13 09.34.36,,,
,,"质量很好，宝贝也很喜欢，值得拥有！Qualität ist sehr gut, Baby ist auch sehr lieb, lohnt sich!",2015-05-13 09:14:302015.05.13 09.14.30,,好Okay,身高:180cmHöhe: 180cm
,"//img.alicdn.com/bao/uploaded/i1/18129080444686355/TB2mDgkcFXXXXcCXpXXXXXXXXXX_!!667148129-0-rate.jpg,//img.alicdn.com/bao/uploaded/i2/18129080689953465/TB2KTwrcFXXXXX3XpXXXXXXXXXX_!!667148129-0-rate.jpg//img.alicdn.com/bao/uploaded/i1/18129080444686355/TB2mDgkcFXXXXcCXpXXXXXXXXXX_!!667148129-0-rate.jpg,//img.alicdn.com/bao/uploaded/i2/18129080689953465/TB2KTwrcFXXXXX3XpXXXXXXXXXX_!!667148129-0- rate.jpg","紧度比较合身，L号下面有些长，173CM。Dichtheit relativ fit, L Nummer unten etwas lang, 173cm.76KG。76kg.有些地方有线头。Einige lokale Kabelkopf.快递神速一天就到，三线城市一般三天。Schnelle Lieferung Tag, um Third-Tier-Städte sind in der Regel drei Tage.",2015-05-13 08:34:262015.05.13 08.34.26,,,
"241655024113|2015-05-14 13:06:51|穿着舒服，弹力十足。241655024113 | 2015.05.14 13: 06: 51 | tragen Sie bequeme, volle Strecke.|3||| 3 ||",,正品是无疑的。Authentic besteht kein Zweifel.,2015-05-13 08:29:132015.05.13 08.29.13,,,
,,"顺丰还要两天半，然后下面太长了SF zwei und eine halbe, dann auch unter die",2015-05-13 00:10:552015.05.13 00.10.55,,,
,,"还不错，180,85kg XL小了Ziemlich gut, ein wenig 180,85kg XL",2015-05-12 23:45:212015.05.12 23.45.21,,,
,//img.alicdn.com/bao/uploaded/i3/17053080623131222/TB293QacFXXXXczXpXXXXXXXXXX_!!2178557053-0-rate.jpg//img.alicdn.com/bao/uploaded/i3/17053080623131222/TB293QacFXXXXczXpXXXXXXXXXX_!!2178557053-0-rate.jpg,"包装不错，比阿迪达斯好太多，中午买第二天中午就到了，穿的蛮舒服，准备再买一件Die Verpackung ist gut, viel besser 比阿迪达斯 Mittag des nächsten Tages am Mittag zu kaufen, tragen sehr komfortabel, bereit, einen zu kaufen",2015-05-12 22:51:302015.05.12 22.51.30,,,
,//img.alicdn.com/bao/uploaded/i4/11322080390550274/TB2tl7rcFXXXXbhXXXXXXXXXXXX_!!833461322-0-rate.jpg//img.alicdn.com/bao/uploaded/i4/11322080390550274/TB2tl7rcFXXXXbhXXXXXXXXXXXX_!!833461322-0-rate.jpg,"物流速度出奇的快，东西很不错很紧身!不错不错。Logistics Geschwindigkeit überraschend schnell, etwas sehr Gutes sehr eng! Gut gut.",2015-05-12 20:42:252015.05.12 20.42.25,,,
,,"是正品，没问题，，，Ist echt, kein Problem ,,,",2015-05-12 18:48:272015.05.12 18.48.27,,,
